depth	imgcount	area	nbr	greylimit1	greylimit2	greylimit3
3	39	15	12	8	10	20
3	39	13	15	9	14	22
3	39	10	37	7	10	16
3	39	9	26	9	12	16
3	39	8	51	7	10	14
3	39	7	55	8	10	16
3	39	6	89	7	11	15
3	39	5	116	7	9	13
3	39	4	194	5	8	12
3	39	3	397	3	5	7
3	39	2	3941	3	3	4
3	39	19	5	8	25	27
3	39	12	17	9	21	37
3	39	11	21	9	19	24
3	39	22	3	10	20	29
3	39	20	3	15	16	26
3	39	14	12	6	13	29
3	39	18	5	17	18	20
3	39	16	12	9	15	28
3	39	23	3	12	16	18
3	39	17	11	17	19	31
3	39	25	2	10	10	12
3	39	24	1	16	16	16
3	39	50	1	23	23	23
3	39	31	1	17	17	17
3	39	53	1	21	21	21
3	39	38	1	15	15	15
3	39	52	2	20	20	26
4	72	49	1	25	25	25
4	72	17	11	8	12	19
4	72	12	24	5	14	18
4	72	9	46	9	11	18
4	72	7	92	8	14	17
4	72	6	154	7	11	15
4	72	5	207	6	11	15
4	72	4	370	5	8	12
4	72	3	720	3	4	7
4	72	2	5838	3	3	4
4	72	70	1	28	28	28
4	72	11	27	7	12	20
4	72	8	66	7	10	18
4	72	61	1	26	26	26
4	72	15	11	9	15	30
4	72	10	32	7	11	15
4	72	14	14	10	16	25
4	72	16	12	8	14	23
4	72	18	12	8	11	29
4	72	19	8	10	22	30
4	72	13	11	11	18	28
4	72	78	1	11	11	11
4	72	30	3	11	13	23
4	72	73	2	22	22	43
4	72	28	3	10	22	28
4	72	54	2	6	6	27
4	72	23	1	75	75	75
4	72	22	5	13	14	16
4	72	34	4	6	7	19
4	72	21	6	5	5	27
4	72	26	5	9	11	18
4	72	44	1	22	22	22
4	72	31	3	11	23	39
4	72	20	3	7	17	24
4	72	40	1	37	37	37
4	72	27	5	6	7	13
4	72	29	2	7	7	27
4	72	80	1	56	56	56
4	72	42	2	3	3	6
4	72	25	3	4	5	8
4	72	24	1	5	5	5
4	72	43	1	31	31	31
