depth	imgcount	area	nbr	greylimit1	greylimit2	greylimit3
3	76	28	7	15	51	76
3	76	26	4	24	25	76
3	76	23	5	17	25	36
3	76	20	9	13	17	44
3	76	12	32	10	20	39
3	76	9	93	9	13	23
3	76	8	119	7	13	23
3	76	6	222	7	11	17
3	76	5	286	6	9	14
3	76	4	525	6	9	13
3	76	3	800	4	6	10
3	76	2	4525	3	3	5
3	76	36	1	69	69	69
3	76	13	28	6	10	42
3	76	11	49	11	18	27
3	76	10	69	8	14	21
3	76	7	154	7	11	19
3	76	24	7	9	29	77
3	76	16	18	15	23	47
3	76	15	21	10	17	49
3	76	21	13	11	14	16
3	76	25	11	7	33	67
3	76	38	1	4	4	4
3	76	35	3	6	26	67
3	76	27	10	16	30	64
3	76	32	8	17	30	61
3	76	17	11	9	16	53
3	76	14	27	10	23	40
3	76	18	13	10	22	43
3	76	41	1	25	25	25
3	76	42	1	4	4	4
3	76	22	11	7	16	60
3	76	19	18	14	29	48
3	76	29	2	7	7	60
3	76	55	1	16	16	16
3	76	39	2	24	24	79
3	76	49	1	35	35	35
3	76	33	2	6	6	31
3	76	37	2	5	5	6
3	76	46	1	25	25	25
3	76	44	1	18	18	18
3	76	31	3	4	20	49
3	76	47	1	41	41	41
3	76	59	1	54	54	54
3	76	58	1	8	8	8
3	76	57	2	4	4	9
3	76	43	1	17	17	17
3	76	30	3	23	28	41
3	76	45	1	57	57	57
3	76	40	1	42	42	42
4	69	76	1	7	7	7
4	69	27	4	6	9	16
4	69	25	1	14	14	14
4	69	16	5	12	15	16
4	69	12	23	8	14	22
4	69	11	20	10	14	21
4	69	10	44	8	11	18
4	69	6	117	6	9	14
4	69	5	194	7	10	13
4	69	4	361	6	9	14
4	69	3	558	4	6	10
4	69	2	2991	3	3	5
4	69	41	3	18	20	73
4	69	35	1	5	5	5
4	69	19	5	6	8	13
4	69	15	10	10	12	15
4	69	9	48	8	13	23
4	69	8	67	7	10	14
4	69	7	90	7	10	15
4	69	14	25	9	14	18
4	69	53	1	7	7	7
4	69	13	19	9	13	21
4	69	48	1	6	6	6
4	69	55	2	6	6	7
4	69	22	3	4	7	14
4	69	24	3	4	8	18
4	69	20	4	6	13	21
4	69	54	1	9	9	9
4	69	17	8	8	10	16
4	69	23	4	5	12	46
4	69	33	1	31	31	31
4	69	21	2	21	21	29
4	69	62	1	8	8	8
4	69	28	3	11	17	35
4	69	18	3	11	18	41
4	69	39	1	21	21	21
4	69	38	1	20	20	20
4	69	49	1	21	21	21
4	69	44	1	6	6	6
4	69	32	1	29	29	29
4	69	26	1	9	9	9
4	69	80	1	9	9	9
4	69	36	1	13	13	13
4	69	45	1	13	13	13
4	69	74	1	21	21	21
4	69	71	1	83	83	83
4	69	82	1	42	42	42
4	69	37	1	14	14	14
4	69	34	1	4	4	4
5	33	25	3	7	16	39
5	33	17	5	8	22	29
5	33	14	7	8	15	17
5	33	13	9	4	11	15
5	33	7	47	6	9	16
5	33	6	68	6	9	13
5	33	5	119	5	9	13
5	33	4	205	6	8	11
5	33	3	283	4	6	9
5	33	2	1434	3	4	5
5	33	28	2	22	22	33
5	33	9	31	8	10	15
5	33	131	1	64	64	64
5	33	21	4	16	22	32
5	33	12	13	6	14	19
5	33	10	18	7	10	16
5	33	35	1	3	3	3
5	33	18	5	12	12	16
5	33	11	18	7	9	12
5	33	164	1	5	5	5
5	33	92	1	7	7	7
5	33	50	1	30	30	30
5	33	8	35	6	12	15
5	33	55	1	9	9	9
5	33	185	1	47	47	47
5	33	71	1	4	4	4
5	33	617	1	10	10	10
5	33	32	2	13	13	21
5	33	24	3	7	25	40
5	33	19	4	13	19	32
5	33	15	5	10	19	32
5	33	36	1	17	17	17
5	33	76	1	4	4	4
5	33	29	2	3	3	35
5	33	80	1	5	5	5
5	33	586	1	93	93	93
5	33	23	1	17	17	17
5	33	22	3	3	12	31
5	33	20	2	5	5	8
5	33	307	1	7	7	7
5	33	583	1	6	6	6
5	33	97	1	4	4	4
5	33	27	2	3	3	14
5	33	26	3	3	14	25
5	33	33	1	17	17	17
5	33	86	1	8	8	8
5	33	16	1	28	28	28
5	33	143	1	6	6	6
6	21	24	1	23	23	23
6	21	17	6	7	18	23
6	21	13	8	13	15	25
6	21	8	17	9	14	20
6	21	7	28	4	7	12
6	21	5	74	6	8	14
6	21	4	124	6	8	14
6	21	3	171	4	6	9
6	21	2	890	3	3	5
6	21	43	3	5	26	35
6	21	15	3	5	9	13
6	21	12	10	10	17	28
6	21	6	43	6	9	13
6	21	61	1	10	10	10
6	21	20	2	6	6	7
6	21	11	10	8	15	25
6	21	9	15	5	10	15
6	21	114	1	25	25	25
6	21	22	2	9	9	12
6	21	16	5	7	16	29
6	21	14	5	8	12	14
6	21	39	1	23	23	23
6	21	27	3	15	33	41
6	21	10	10	7	8	23
6	21	23	2	4	4	33
6	21	21	2	8	8	17
6	21	101	2	29	29	100
6	21	31	1	6	6	6
6	21	75	1	7	7	7
6	21	250	1	50	50	50
6	21	226	1	6	6	6
6	21	200	1	48	48	48
6	21	18	1	22	22	22
6	21	125	1	50	50	50
6	21	72	1	24	24	24
6	21	71	1	5	5	5
6	21	93	1	4	4	4
6	21	19	1	20	20	20
7	52	10	22	9	10	22
7	52	9	37	8	12	17
7	52	6	95	7	9	14
7	52	5	159	7	10	15
7	52	4	263	5	9	13
7	52	3	384	4	6	10
7	52	2	1792	3	4	6
7	52	35	2	5	5	28
7	52	32	1	19	19	19
7	52	13	24	10	15	20
7	52	7	62	8	11	15
7	52	36	4	6	26	41
7	52	11	21	5	8	10
7	52	8	43	7	12	15
7	52	20	2	12	12	23
7	52	17	8	5	11	17
7	52	15	9	10	12	17
7	52	16	7	5	11	35
7	52	14	9	7	8	14
7	52	53	1	17	17	17
7	52	12	14	6	12	19
7	52	19	2	12	12	15
7	52	18	6	9	12	20
7	52	26	2	15	15	20
7	52	23	3	6	11	19
7	52	21	6	6	7	17
7	52	31	1	37	37	37
7	52	39	1	32	32	32
7	52	44	1	24	24	24
7	52	29	1	6	6	6
7	52	24	2	7	7	19
7	52	41	1	6	6	6
7	52	56	1	6	6	6
7	52	97	1	11	11	11
7	52	236	1	55	55	55
7	52	296	1	72	72	72
7	52	311	1	72	72	72
7	52	316	1	75	75	75
7	52	320	1	72	72	72
7	52	322	1	73	73	73
7	52	305	1	62	62	62
7	52	161	1	12	12	12
7	52	87	2	5	5	6
7	52	42	1	20	20	20
7	52	92	1	6	6	6
7	52	51	1	20	20	20
7	52	146	1	8	8	8
7	52	49	1	19	19	19
7	52	248	1	11	11	11
7	52	58	1	17	17	17
7	52	151	1	7	7	7
7	52	84	1	4	4	4
7	52	43	1	3	3	3
7	52	30	1	38	38	38
7	52	34	1	38	38	38
8	59	16	7	6	13	16
8	59	11	22	7	12	21
8	59	10	23	7	8	14
8	59	5	183	6	9	13
8	59	4	296	5	8	13
8	59	3	444	5	7	10
8	59	2	1846	3	4	6
8	59	8	48	7	11	14
8	59	7	67	7	9	14
8	59	12	19	8	12	19
8	59	39	1	43	43	43
8	59	9	32	9	12	20
8	59	61	1	46	46	46
8	59	6	118	7	10	14
8	59	67	1	47	47	47
8	59	60	1	52	52	52
8	59	68	1	46	46	46
8	59	31	3	8	18	44
8	59	15	14	10	12	23
8	59	29	3	3	4	34
8	59	13	10	6	8	15
8	59	14	12	9	9	22
8	59	26	1	7	7	7
8	59	17	4	7	14	28
8	59	23	2	13	13	52
8	59	32	2	11	11	64
8	59	28	3	10	50	60
8	59	20	1	14	14	14
8	59	59	1	16	16	16
8	59	25	2	7	7	20
8	59	117	1	12	12	12
8	59	27	3	5	14	56
8	59	40	3	5	11	17
8	59	18	3	6	9	17
8	59	37	1	5	5	5
8	59	312	1	34	34	34
8	59	24	1	32	32	32
8	59	167	1	4	4	4
8	59	120	1	4	4	4
8	59	22	3	7	10	53
8	59	21	1	26	26	26
8	59	36	2	68	68	70
8	59	38	1	6	6	6
8	59	19	2	10	10	15
8	59	56	1	32	32	32
9	28	15	6	8	8	13
9	28	14	4	18	26	36
9	28	12	15	6	14	28
9	28	7	48	6	10	19
9	28	6	56	6	10	16
9	28	5	93	6	9	13
9	28	4	137	5	9	13
9	28	3	234	4	6	10
9	28	2	1072	3	4	6
