depth	imgcount	area	nbr	greylimit1	greylimit2	greylimit3
50	2	21	1	16	16	16
50	2	15	1	9	9	9
50	2	11	1	12	12	12
50	2	10	1	17	17	17
50	2	7	1	15	15	15
50	2	6	4	7	9	12
50	2	5	3	8	10	12
50	2	4	5	7	8	8
50	2	3	8	6	8	12
50	2	2	13	4	5	6
50	2	22	1	18	18	18
50	2	20	1	15	15	15
50	2	18	1	18	18	18
50	2	12	1	13	13	13
50	2	8	1	11	11	11
51	17	13	15	19	23	26
51	17	12	15	14	21	34
51	17	9	29	10	18	23
51	17	8	33	8	17	24
51	17	7	33	8	13	19
51	17	6	47	8	14	20
51	17	5	63	8	11	13
51	17	4	138	6	9	13
51	17	3	165	5	7	11
51	17	2	385	4	6	9
51	17	58	1	11	11	11
51	17	26	2	28	28	40
51	17	21	3	17	37	40
51	17	20	3	33	42	53
51	17	14	10	14	19	29
51	17	10	31	9	17	21
51	17	24	11	22	39	48
51	17	19	6	22	23	45
51	17	18	5	25	31	36
51	17	16	7	13	33	37
51	17	11	21	14	18	25
51	17	71	1	100	100	100
51	17	56	2	19	19	63
51	17	32	1	35	35	35
51	17	62	1	56	56	56
51	17	52	1	70	70	70
51	17	45	1	19	19	19
51	17	36	1	25	25	25
51	17	35	3	9	39	47
51	17	31	2	47	47	83
51	17	27	4	27	30	57
51	17	25	3	17	23	63
51	17	15	5	13	14	38
51	17	34	3	6	39	80
51	17	28	2	5	5	19
51	17	17	7	14	30	32
51	17	44	1	71	71	71
51	17	42	1	25	25	25
51	17	39	1	28	28	28
51	17	23	2	12	12	22
51	17	38	1	58	58	58
51	17	29	1	25	25	25
51	17	22	3	3	21	62
51	17	51	1	36	36	36
51	17	33	1	61	61	61
51	17	107	1	82	82	82
51	17	105	1	56	56	56
51	17	49	1	79	79	79
52	54	40	3	14	52	71
52	54	23	10	17	18	26
52	54	22	7	20	30	47
52	54	18	15	22	26	37
52	54	15	22	14	22	40
52	54	14	29	17	23	30
52	54	12	35	14	21	29
52	54	11	52	8	15	23
52	54	9	49	10	15	25
52	54	8	78	9	14	20
52	54	7	129	8	13	18
52	54	6	152	8	13	18
52	54	5	192	7	9	15
52	54	4	389	6	9	12
52	54	3	511	5	7	11
52	54	2	1338	4	6	9
52	54	35	8	33	38	59
52	54	30	3	7	24	84
52	54	27	6	16	23	35
52	54	25	9	14	19	30
52	54	19	13	10	22	27
52	54	16	27	17	22	31
52	54	13	28	12	18	34
52	54	75	1	50	50	50
52	54	34	3	25	34	57
52	54	32	4	8	28	81
52	54	26	10	21	27	33
52	54	21	10	8	28	35
52	54	10	74	14	19	26
52	54	59	2	16	16	93
52	54	50	4	26	26	57
52	54	48	2	16	16	19
52	54	33	1	17	17	17
52	54	31	5	9	37	52
52	54	17	21	17	28	46
52	54	53	1	35	35	35
52	54	28	8	5	9	20
52	54	37	1	38	38	38
52	54	24	7	12	30	49
52	54	41	2	9	9	35
52	54	43	1	26	26	26
52	54	20	10	11	21	37
52	54	36	2	29	29	88
52	54	39	2	42	42	58
52	54	42	3	5	37	75
52	54	58	1	60	60	60
52	54	45	1	60	60	60
52	54	29	3	11	19	70
52	54	51	1	60	60	60
52	54	47	1	24	24	24
52	54	63	1	21	21	21
52	54	61	1	47	47	47
52	54	54	1	66	66	66
52	54	38	2	7	7	26
52	54	171	1	12	12	12
53	35	156	1	15	15	15
53	35	80	2	31	31	70
53	35	26	4	23	31	88
53	35	17	16	11	26	46
53	35	13	21	16	29	35
53	35	11	25	11	13	17
53	35	10	32	10	13	18
53	35	8	59	11	14	21
53	35	7	99	9	14	21
53	35	6	93	8	11	16
53	35	5	151	7	10	14
53	35	4	250	6	9	13
53	35	3	372	5	7	11
53	35	2	871	4	6	9
53	35	30	4	41	47	59
53	35	20	9	22	27	31
53	35	15	29	11	17	31
53	35	9	47	10	14	20
53	35	41	2	17	17	57
53	35	37	2	21	21	23
53	35	35	3	12	60	66
53	35	33	4	9	37	76
53	35	23	12	15	34	55
53	35	22	17	21	34	51
53	35	21	8	8	15	52
53	35	14	20	12	20	31
53	35	12	28	10	19	25
53	35	63	1	59	59	59
53	35	31	2	51	51	68
53	35	25	7	18	28	36
53	35	18	15	9	18	29
53	35	32	3	29	39	43
53	35	48	1	39	39	39
53	35	28	10	21	28	37
53	35	27	6	17	21	42
53	35	19	6	9	27	35
53	35	58	3	11	37	90
53	35	34	4	7	8	43
53	35	52	1	32	32	32
53	35	24	6	28	29	33
53	35	82	1	51	51	51
53	35	61	2	38	38	102
53	35	43	2	38	38	43
53	35	71	1	35	35	35
53	35	38	1	7	7	7
53	35	16	11	8	13	25
53	35	39	1	36	36	36
53	35	46	1	32	32	32
53	35	47	1	89	89	89
53	35	29	2	9	9	12
53	35	57	1	52	52	52
53	35	60	1	76	76	76
53	35	54	1	71	71	71
53	35	50	1	6	6	6
53	35	204	1	13	13	13
53	35	94	1	109	109	109
54	28	48	2	22	22	67
54	28	41	1	48	48	48
54	28	39	3	6	45	63
54	28	37	6	42	51	61
54	28	26	2	49	49	85
54	28	23	5	24	32	36
54	28	19	9	14	24	43
54	28	17	11	15	31	33
54	28	11	17	12	21	27
54	28	10	30	10	16	24
54	28	8	51	10	17	23
54	28	6	74	9	13	19
54	28	5	98	6	10	15
54	28	4	197	6	9	13
54	28	3	277	5	8	11
54	28	2	644	4	6	9
54	28	36	2	27	27	48
54	28	31	6	29	39	49
54	28	20	9	10	24	32
54	28	16	13	9	21	29
54	28	15	17	15	27	34
54	28	13	13	18	29	33
