depth	imgcount	area	nbr	greylimit1	greylimit2	greylimit3
2	14	113	1	30	30	30
2	14	90	1	24	24	24
2	14	86	1	75	75	75
2	14	19	2	12	12	13
2	14	12	3	8	9	30
2	14	10	13	4	9	18
2	14	7	16	7	11	14
2	14	6	23	3	9	16
2	14	5	38	3	5	12
2	14	4	59	3	6	14
2	14	3	94	3	4	7
2	14	2	271	3	4	6
2	14	378	1	5	5	5
2	14	167	1	93	93	93
2	14	64	1	26	26	26
2	14	36	1	60	60	60
2	14	9	8	10	14	36
2	14	8	14	3	6	24
2	14	130	1	4	4	4
2	14	42	1	70	70	70
2	14	182	1	12	12	12
2	14	181	1	13	13	13
2	14	176	1	83	83	83
2	14	69	1	4	4	4
2	14	38	1	26	26	26
2	14	31	1	3	3	3
2	14	21	3	3	11	80
2	14	15	2	7	7	8
2	14	406	1	4	4	4
2	14	114	1	81	81	81
2	14	33	1	12	12	12
2	14	18	2	3	3	26
2	14	14	2	6	6	6
2	14	208	1	4	4	4
2	14	40	1	5	5	5
2	14	34	1	21	21	21
2	14	32	1	13	13	13
2	14	26	1	3	3	3
2	14	16	2	5	5	41
2	14	11	4	6	13	32
2	14	297	1	4	4	4
2	14	144	1	6	6	6
2	14	20	2	3	3	12
2	14	17	2	14	14	22
2	14	13	2	5	5	10
2	14	103	1	94	94	94
3	61	12	17	12	19	27
3	61	8	43	6	12	23
3	61	6	74	7	10	16
3	61	5	125	7	10	14
3	61	4	215	6	10	15
3	61	3	346	5	7	11
3	61	2	934	3	4	7
3	61	89	1	13	13	13
3	61	88	1	14	14	14
3	61	21	3	8	13	41
3	61	14	11	12	23	25
3	61	10	22	12	17	24
3	61	397	1	71	71	71
3	61	185	1	78	78	78
3	61	166	1	4	4	4
3	61	29	1	36	36	36
3	61	22	3	12	19	34
3	61	17	8	3	12	56
3	61	7	68	5	9	16
3	61	257	1	60	60	60
3	61	118	1	17	17	17
3	61	100	2	4	4	36
3	61	74	1	45	45	45
3	61	69	1	44	44	44
3	61	11	13	10	13	33
3	61	36	1	3	3	3
3	61	19	9	8	16	55
3	61	9	25	7	10	14
3	61	15	8	5	9	14
3	61	217	1	52	52	52
3	61	28	1	10	10	10
3	61	71	1	27	27	27
3	61	13	14	12	17	22
3	61	122	1	5	5	5
3	61	23	5	16	27	43
3	61	313	2	14	14	67
