depth	imgcount	area	nbr	greylimit1	greylimit2	greylimit3
4	59	31	2	5	5	72
4	59	21	2	8	8	22
4	59	10	20	5	9	15
4	59	9	32	7	10	23
4	59	7	54	7	10	16
4	59	6	81	5	7	12
4	59	4	227	4	7	11
4	59	3	344	3	5	8
4	59	2	2096	3	3	4
4	59	49	1	8	8	8
4	59	20	2	7	7	10
4	59	35	2	4	4	5
4	59	11	16	7	12	21
4	59	8	48	6	9	15
4	59	5	124	5	7	12
4	59	48	1	4	4	4
4	59	38	2	4	4	5
4	59	23	1	4	4	4
4	59	17	3	8	38	38
4	59	24	1	26	26	26
4	59	131	1	30	30	30
4	59	32	1	6	6	6
4	59	218	1	97	97	97
4	59	115	1	67	67	67
4	59	279	1	83	83	83
4	59	126	2	52	52	53
4	59	13	12	15	17	44
4	59	101	1	10	10	10
4	59	71	1	7	7	7
4	59	15	7	4	17	30
4	59	61	2	4	4	5
4	59	18	5	6	15	18
4	59	12	11	10	12	24
4	59	14	3	22	22	44
4	59	64	2	5	5	14
4	59	56	2	5	5	19
4	59	36	4	3	4	10
4	59	83	1	6	6	6
4	59	333	1	64	64	64
4	59	394	1	79	79	79
4	59	245	1	17	17	17
4	59	176	2	7	7	31
4	59	246	1	9	9	9
4	59	16	3	5	10	11
4	59	244	1	8	8	8
4	59	209	1	7	7	7
4	59	141	1	6	6	6
4	59	96	2	4	4	12
4	59	22	2	14	14	15
4	59	72	1	3	3	3
4	59	25	1	13	13	13
4	59	157	1	4	4	4
4	59	34	1	13	13	13
4	59	66	1	68	68	68
4	59	44	2	6	6	20
4	59	404	1	72	72	72
4	59	94	1	33	33	33
4	59	37	1	3	3	3
4	59	441	1	71	71	71
4	59	319	1	51	51	51
4	59	50	1	4	4	4
4	59	29	1	3	3	3
4	59	397	1	64	64	64
4	59	243	1	10	10	10
4	59	149	1	18	18	18
4	59	366	1	98	98	98
4	59	216	2	7	7	89
4	59	354	1	91	91	91
4	59	303	1	7	7	7
4	59	194	1	12	12	12
4	59	116	1	4	4	4
4	59	42	1	6	6	6
4	59	304	1	9	9	9
4	59	177	1	70	70	70
4	59	104	1	4	4	4
4	59	39	1	7	7	7
4	59	125	1	11	11	11
4	59	106	1	79	79	79
4	59	63	1	3	3	3
4	59	40	2	3	3	9
4	59	60	2	4	4	7
4	59	55	1	4	4	4
4	59	19	3	8	12	16
4	59	127	1	13	13	13
4	59	146	1	4	4	4
4	59	482	1	97	97	97
4	59	54	2	4	4	16
4	59	334	1	5	5	5
4	59	30	1	15	15	15
4	59	86	1	67	67	67
4	59	99	1	6	6	6
4	59	28	1	10	10	10
4	59	27	1	14	14	14
5	60	46	2	5	5	22
5	60	15	6	10	14	20
5	60	8	36	6	9	12
5	60	6	63	4	7	10
5	60	5	79	5	7	11
5	60	4	196	5	7	11
5	60	3	325	4	5	7
5	60	2	2222	3	3	4
5	60	22	5	7	9	37
5	60	7	52	5	8	12
5	60	21	2	4	4	11
5	60	17	5	6	17	33
5	60	11	15	7	10	19
5	60	10	22	7	9	14
5	60	18	2	10	10	30
5	60	9	34	7	11	14
5	60	16	5	10	17	19
5	60	13	10	5	9	15
5	60	19	2	3	3	46
5	60	216	1	79	79	79
5	60	24	1	3	3	3
5	60	12	9	6	7	12
5	60	183	1	12	12	12
5	60	224	1	122	122	122
5	60	58	1	6	6	6
5	60	132	2	52	52	93
5	60	45	1	56	56	56
5	60	14	14	7	10	19
5	60	109	1	23	23	23
5	60	218	1	81	81	81
5	60	287	1	59	59	59
5	60	33	2	3	3	6
5	60	43	1	4	4	4
5	60	143	1	61	61	61
5	60	151	1	58	58	58
5	60	164	1	53	53	53
5	60	79	1	7	7	7
5	60	48	1	3	3	3
