depth	imgcount	area	nbr	greylimit1	greylimit2	greylimit3
4	14	19	2	44	44	59
4	14	10	6	5	8	17
4	14	8	12	8	10	15
4	14	7	10	9	13	17
4	14	6	17	9	12	18
4	14	5	25	9	11	13
4	14	4	56	6	9	14
4	14	3	82	5	9	13
4	14	2	222	3	5	7
4	14	123	1	93	93	93
4	14	17	2	10	10	11
4	14	51	1	15	15	15
4	14	9	10	6	7	13
4	14	619	1	87	87	87
4	14	96	1	84	84	84
4	14	42	1	13	13	13
4	14	27	1	38	38	38
4	14	18	1	19	19	19
4	14	13	2	6	6	16
4	14	29	1	6	6	6
4	14	28	1	80	80	80
4	14	16	1	16	16	16
4	14	11	3	17	34	42
4	14	22	1	5	5	5
4	14	12	3	16	20	33
4	14	15	1	31	31	31
4	14	40	1	18	18	18
4	14	26	1	23	23	23
5	18	180	1	21	21	21
5	18	20	2	8	8	46
5	18	17	3	8	42	67
5	18	9	9	14	19	20
5	18	6	31	8	11	14
5	18	5	41	5	9	13
5	18	4	58	6	8	11
5	18	3	83	5	8	12
5	18	2	249	4	5	8
5	18	16	4	8	10	24
5	18	10	8	6	10	18
5	18	8	21	13	17	20
5	18	24	1	14	14	14
5	18	15	1	15	15	15
5	18	7	20	7	12	19
5	18	12	3	10	18	25
5	18	128	1	8	8	8
5	18	21	2	19	19	27
5	18	11	3	5	12	22
5	18	19	1	12	12	12
5	18	18	1	23	23	23
5	18	26	1	20	20	20
5	18	14	1	5	5	5
6	16	11	4	7	8	16
6	16	9	4	6	10	11
6	16	7	19	7	11	17
6	16	6	22	8	9	15
6	16	5	29	8	10	15
6	16	4	55	7	10	16
6	16	3	84	5	7	10
6	16	2	243	3	4	6
6	16	8	7	9	15	19
6	16	28	1	13	13	13
6	16	14	2	11	11	20
6	16	13	3	12	16	19
6	16	10	3	6	17	18
6	16	108	1	56	56	56
6	16	16	2	8	8	21
6	16	40	1	7	7	7
6	16	27	1	8	8	8
6	16	12	2	13	13	19
6	16	19	1	9	9	9
6	16	17	1	19	19	19
6	16	20	1	23	23	23
6	16	24	1	34	34	34
6	16	38	1	17	17	17
6	16	32	2	16	16	24
6	16	21	1	7	7	7
6	16	23	1	27	27	27
6	16	22	1	8	8	8
7	22	19	7	20	32	44
7	22	17	3	9	12	49
7	22	14	2	14	14	22
7	22	8	14	5	15	25
7	22	7	24	8	12	20
7	22	4	87	6	8	14
7	22	3	100	4	7	10
7	22	2	298	3	4	7
7	22	11	4	8	10	18
7	22	10	6	7	7	17
7	22	6	30	7	11	17
7	22	24	1	14	14	14
7	22	16	1	10	10	10
7	22	5	34	6	9	15
7	22	28	1	21	21	21
7	22	21	2	10	10	24
7	22	9	5	10	11	13
7	22	12	6	12	15	26
7	22	15	4	9	10	20
7	22	13	2	7	7	16
7	22	25	2	7	7	17
7	22	33	1	64	64	64
8	60	26	3	11	17	22
8	60	22	3	9	11	12
8	60	20	5	7	13	17
8	60	11	19	10	16	20
8	60	5	127	7	9	14
8	60	4	228	6	9	13
8	60	3	312	5	7	11
8	60	2	975	3	4	7
8	60	10	16	6	10	20
8	60	7	48	8	10	16
8	60	6	81	8	10	14
8	60	15	5	13	15	30
8	60	13	8	7	7	13
8	60	12	11	9	13	15
8	60	9	25	9	13	16
8	60	8	41	7	12	17
8	60	23	2	13	13	21
8	60	16	5	8	12	15
8	60	29	4	10	13	21
8	60	24	4	7	10	14
8	60	19	9	18	22	25
8	60	14	9	7	9	17
8	60	17	4	7	13	22
8	60	21	5	27	28	34
8	60	18	4	15	17	25
8	60	44	2	10	10	22
8	60	35	4	12	17	27
8	60	38	1	19	19	19
8	60	52	2	27	27	30
8	60	56	1	25	25	25
8	60	64	1	24	24	24
8	60	62	1	18	18	18
8	60	59	1	23	23	23
8	60	75	1	18	18	18
8	60	69	1	23	23	23
8	60	82	1	20	20	20
8	60	88	1	7	7	7
8	60	79	1	5	5	5
8	60	258	1	76	76	76
8	60	343	1	105	105	105
8	60	372	1	71	71	71
8	60	49	1	4	4	4
8	60	34	1	4	4	4
8	60	47	1	4	4	4
8	60	51	1	10	10	10
9	23	20	3	4	8	19
9	23	18	2	8	8	12
9	23	17	3	20	27	28
9	23	10	17	8	13	19
9	23	9	11	4	9	15
9	23	8	18	8	10	15
9	23	5	36	6	11	17
9	23	4	91	5	7	13
9	23	3	125	4	6	9
9	23	2	568	3	4	6
9	23	11	7	18	20	44
9	23	7	28	8	12	15
9	23	6	34	6	9	11
9	23	16	4	4	15	22
9	23	23	3	15	27	45
9	23	25	1	22	22	22
9	23	12	4	5	8	28
9	23	26	3	19	29	32
9	23	19	3	12	12	18
9	23	24	3	5	10	39
9	23	13	3	3	5	6
9	23	22	1	39	39	39
9	23	14	3	3	10	11
9	23	30	1	24	24	24
9	23	56	1	22	22	22
9	23	40	1	11	11	11
9	23	21	1	14	14	14
9	23	78	1	7	7	7
10	19	27	1	8	8	8
10	19	21	1	4	4	4
10	19	16	5	7	11	11
10	19	13	4	7	7	13
10	19	7	20	10	13	21
10	19	5	36	6	8	13
10	19	4	72	6	9	14
10	19	3	115	4	6	8
10	19	2	510	3	4	5
10	19	96	1	20	20	20
10	19	11	2	4	4	18
10	19	9	13	8	12	18
10	19	6	24	5	7	14
10	19	8	11	6	13	14
10	19	19	1	9	9	9
10	19	17	3	6	15	39
10	19	12	6	12	13	26
10	19	10	4	12	14	22
10	19	14	3	7	11	14
10	19	68	1	38	38	38
10	19	26	1	8	8	8
10	19	20	1	13	13	13
10	19	18	1	7	7	7
10	19	22	4	11	14	21
10	19	34	1	20	20	20
10	19	32	1	14	14	14
11	21	20	3	9	13	50
11	21	9	14	12	16	19
11	21	8	23	10	13	22
11	21	5	47	6	9	12
11	21	4	80	6	9	14
11	21	3	105	5	7	10
11	21	2	548	3	4	6
11	21	6	29	7	10	13
11	21	42	1	21	21	21
11	21	19	3	5	14	15
11	21	16	2	8	8	15
11	21	11	6	9	12	27
11	21	7	23	7	11	15
11	21	59	1	43	43	43
11	21	38	1	16	16	16
11	21	25	1	9	9	9
11	21	13	5	14	19	32
11	21	10	6	13	22	24
11	21	14	6	11	15	23
11	21	21	4	6	7	32
11	21	15	3	7	13	21
11	21	12	1	33	33	33
11	21	29	1	17	17	17
11	21	17	1	43	43	43
11	21	24	1	19	19	19
11	21	32	1	15	15	15
11	21	23	1	16	16	16
11	21	18	1	10	10	10
12	78	26	2	11	11	15
12	78	10	27	9	13	19
12	78	6	142	7	11	16
12	78	5	172	6	10	14
12	78	4	290	6	8	12
12	78	3	516	4	6	9
12	78	2	2121	3	4	6
12	78	8	65	9	13	17
12	78	23	6	9	14	29
12	78	22	6	19	22	24
12	78	11	26	10	13	18
12	78	7	84	8	11	16
12	78	297	1	14	14	14
12	78	57	1	5	5	5
12	78	27	2	16	16	27
12	78	17	8	11	16	27
12	78	15	8	8	12	16
12	78	9	33	9	14	16
12	78	19	6	7	8	10
12	78	14	12	7	12	24
12	78	71	1	5	5	5
12	78	12	16	10	14	22
12	78	60	1	49	49	49
12	78	21	6	5	10	13
12	78	18	11	9	13	17
12	78	77	1	26	26	26
12	78	28	2	4	4	19
12	78	32	1	5	5	5
12	78	29	4	5	14	16
12	78	63	1	5	5	5
12	78	16	8	6	18	28
12	78	13	14	6	11	20
12	78	24	3	12	13	20
12	78	45	1	22	22	22
12	78	20	5	9	12	16
12	78	35	2	13	13	21
12	78	64	1	8	8	8
12	78	33	1	19	19	19
12	78	43	1	23	23	23
12	78	46	1	12	12	12
12	78	39	1	31	31	31
12	78	25	1	17	17	17
13	27	50	1	11	11	11
13	27	28	3	8	9	14
13	27	11	6	8	8	16
13	27	8	17	11	16	18
13	27	7	25	8	10	13
13	27	6	33	6	8	12
13	27	5	58	6	9	13
13	27	4	85	5	8	13
13	27	3	158	5	6	9
13	27	2	641	3	4	6
13	27	25	1	14	14	14
13	27	36	1	16	16	16
13	27	22	2	10	10	19
13	27	12	9	12	13	19
13	27	13	3	5	15	44
13	27	19	2	7	7	8
13	27	18	3	8	10	16
13	27	10	8	8	11	14
13	27	61	1	61	61	61
13	27	16	2	11	11	40
13	27	9	12	7	13	32
13	27	37	1	14	14	14
13	27	14	5	9	17	18
13	27	41	1	10	10	10
13	27	26	1	19	19	19
13	27	15	1	26	26	26
13	27	17	3	9	13	16
13	27	31	1	11	11	11
13	27	27	1	19	19	19
13	27	29	1	50	50	50
13	27	21	1	35	35	35
14	20	22	2	16	16	19
14	20	20	5	16	26	27
14	20	19	3	13	18	20
14	20	13	7	11	13	22
14	20	9	18	11	12	18
14	20	8	16	7	10	17
14	20	6	41	6	8	13
14	20	5	44	6	9	12
14	20	4	82	5	7	11
14	20	3	126	4	6	8
14	20	2	679	3	3	5
14	20	14	6	6	16	24
14	20	7	15	10	13	24
14	20	18	5	12	19	21
14	20	11	4	4	15	22
14	20	10	10	9	12	20
14	20	15	2	7	7	14
14	20	17	2	6	6	11
14	20	12	4	8	14	28
14	20	28	1	21	21	21
14	20	27	1	14	14	14
14	20	16	1	15	15	15
14	20	25	2	7	7	24
14	20	39	1	36	36	36
15	27	35	1	22	22	22
15	27	15	10	14	16	19
15	27	12	14	10	12	22
15	27	9	36	10	12	17
15	27	8	29	7	12	17
15	27	7	39	7	10	15
15	27	5	79	6	9	13
15	27	4	132	5	7	11
15	27	3	187	4	6	8
15	27	2	869	3	4	6
15	27	6	52	7	10	14
15	27	25	3	14	29	32
15	27	23	3	5	23	29
15	27	13	10	10	12	15
15	27	109	1	21	21	21
15	27	29	1	23	23	23
15	27	11	21	11	14	16
15	27	10	19	7	11	23
15	27	39	1	18	18	18
15	27	33	3	9	12	31
15	27	28	2	9	9	20
15	27	24	2	10	10	40
15	27	63	1	10	10	10
15	27	21	2	12	12	42
15	27	20	1	8	8	8
15	27	17	7	7	12	24
15	27	14	8	9	16	19
15	27	19	2	14	14	17
15	27	18	4	7	22	34
15	27	36	1	20	20	20
15	27	34	1	43	43	43
15	27	22	2	33	33	41
15	27	55	1	33	33	33
15	27	42	1	13	13	13
15	27	16	3	17	24	32
15	27	40	1	9	9	9
15	27	92	1	32	32	32
15	27	60	1	15	15	15
15	27	101	1	58	58	58
15	27	26	2	29	29	37
16	72	25	4	6	14	37
16	72	18	6	14	16	29
16	72	17	10	10	14	24
16	72	13	21	14	18	22
16	72	11	29	8	11	18
16	72	10	39	9	12	20
16	72	9	64	10	14	21
16	72	6	104	7	10	16
16	72	5	175	6	9	13
16	72	4	292	6	8	12
16	72	3	468	4	6	9
16	72	2	2196	3	4	6
16	72	22	3	13	15	20
16	72	8	76	7	11	19
16	72	7	91	7	11	15
16	72	15	15	8	14	19
16	72	20	7	13	26	41
16	72	12	29	9	13	19
