depth	imgcount	area	nbr	greylimit1	greylimit2	greylimit3
48	2	10	1	22	22	22
48	2	9	1	29	29	29
48	2	7	2	13	13	16
48	2	6	1	15	15	15
48	2	5	7	6	10	11
48	2	4	5	6	8	12
48	2	3	4	10	11	15
48	2	2	19	4	5	7
48	2	15	1	13	13	13
48	2	8	1	21	21	21
49	25	18	5	28	34	35
49	25	14	10	34	37	41
49	25	13	15	18	25	37
49	25	12	25	20	27	34
49	25	11	26	16	23	34
49	25	8	41	10	15	21
49	25	7	47	12	18	22
49	25	5	84	6	11	17
49	25	4	161	6	9	12
49	25	3	192	5	8	12
49	25	2	466	4	7	10
49	25	66	1	37	37	37
49	25	10	23	18	25	35
49	25	9	37	9	16	28
49	25	6	56	9	15	19
49	25	42	1	17	17	17
49	25	21	6	45	57	62
49	25	16	9	9	38	53
49	25	27	1	16	16	16
49	25	44	2	15	15	46
49	25	23	4	20	28	66
49	25	15	9	15	26	39
49	25	17	7	26	37	47
49	25	31	1	47	47	47
49	25	25	3	29	34	43
49	25	28	2	13	13	41
49	25	20	1	61	61	61
49	25	24	2	36	36	45
49	25	19	2	24	24	38
49	25	32	2	27	27	60
49	25	22	2	11	11	36
49	25	26	1	51	51	51
50	21	84	1	46	46	46
50	21	26	3	6	7	29
50	21	15	3	19	26	36
50	21	14	4	10	17	34
50	21	13	16	12	20	32
50	21	11	11	8	12	15
50	21	9	20	12	18	30
50	21	8	31	11	16	23
50	21	7	38	11	13	21
50	21	5	57	7	11	17
50	21	4	156	7	10	14
50	21	3	211	6	8	12
50	21	2	481	4	6	10
50	21	10	19	15	20	38
50	21	6	55	8	12	18
50	21	16	7	20	22	35
50	21	12	15	13	21	26
50	21	30	3	30	62	65
50	21	20	5	30	36	39
50	21	21	2	27	27	56
50	21	19	2	9	9	25
50	21	18	1	54	54	54
50	21	31	2	33	33	55
50	21	17	2	22	22	54
50	21	27	1	25	25	25
50	21	25	1	49	49	49
50	21	24	3	48	49	53
50	21	32	1	27	27	27
50	21	34	1	33	33	33
50	21	29	1	64	64	64
50	21	22	1	11	11	11
51	25	27	2	23	23	57
51	25	26	3	26	29	35
51	25	18	11	14	27	35
51	25	17	8	14	28	48
51	25	11	26	12	19	30
51	25	10	33	11	17	23
51	25	9	33	15	21	26
51	25	7	47	11	16	22
51	25	6	69	9	12	19
51	25	5	90	7	11	16
51	25	4	159	7	10	15
51	25	3	228	5	8	12
51	25	2	576	4	6	10
51	25	34	1	25	25	25
51	25	22	3	37	51	86
51	25	20	4	23	23	58
51	25	15	10	21	25	28
51	25	13	12	19	21	37
51	25	12	17	20	29	31
51	25	8	34	11	17	25
51	25	28	2	11	11	29
51	25	21	4	7	19	36
51	25	14	15	14	25	42
51	25	25	2	27	27	58
51	25	41	2	41	41	45
51	25	39	3	20	59	70
51	25	29	4	4	27	71
51	25	43	1	15	15	15
51	25	19	4	19	20	34
51	25	51	1	20	20	20
51	25	32	2	35	35	49
51	25	78	1	22	22	22
51	25	38	1	28	28	28
51	25	35	1	43	43	43
51	25	16	6	14	23	34
51	25	93	1	85	85	85
51	25	57	1	7	7	7
51	25	42	1	42	42	42
51	25	86	1	8	8	8
51	25	70	1	41	41	41
51	25	23	3	14	17	32
51	25	30	1	15	15	15
51	25	54	1	71	71	71
51	25	24	1	6	6	6
51	25	36	1	61	61	61
51	25	37	1	39	39	39
52	73	25	9	20	22	40
52	73	21	13	22	31	37
52	73	18	19	10	24	41
52	73	16	28	16	23	35
52	73	14	38	13	25	29
52	73	11	69	12	19	28
52	73	9	86	10	18	27
52	73	7	119	10	15	22
52	73	6	173	8	12	19
52	73	5	268	7	11	18
52	73	4	420	6	10	14
52	73	3	606	5	8	12
52	73	2	1549	4	7	10
52	73	36	3	30	43	53
52	73	23	13	26	34	38
52	73	10	63	12	17	28
52	73	8	94	10	16	22
52	73	22	13	29	42	49
52	73	20	17	18	26	32
52	73	13	46	14	20	40
52	73	12	44	15	23	32
52	73	35	3	30	60	61
52	73	19	18	19	26	43
52	73	17	14	15	21	35
52	73	39	1	52	52	52
52	73	49	1	59	59	59
52	73	15	24	17	23	26
52	73	63	1	49	49	49
52	73	30	3	34	35	41
52	73	28	6	21	23	45
52	73	32	3	7	12	41
52	73	24	11	17	23	31
52	73	31	2	43	43	58
52	73	37	2	20	20	49
52	73	40	2	14	14	15
52	73	33	2	25	25	32
52	73	27	3	24	38	57
52	73	26	1	9	9	9
52	73	34	2	33	33	36
52	73	29	3	18	19	38
52	73	47	1	40	40	40
52	73	45	1	22	22	22
53	25	10	26	14	21	27
53	25	9	31	11	15	21
53	25	8	28	12	20	27
53	25	7	45	11	15	22
53	25	6	63	9	13	22
53	25	5	78	7	10	15
53	25	4	150	7	10	14
53	25	3	241	5	8	11
53	25	2	558	4	6	9
53	25	39	2	45	45	47
53	25	30	2	19	19	29
53	25	19	4	13	23	28
53	25	13	12	16	31	35
53	25	12	12	11	20	39
53	25	28	3	19	21	27
53	25	11	17	19	25	33
53	25	20	5	30	47	48
53	25	17	5	17	19	23
53	25	34	2	27	27	48
53	25	23	2	35	35	40
53	25	18	3	23	24	55
53	25	14	11	9	22	24
53	25	83	1	90	90	90
53	25	32	1	73	73	73
53	25	24	2	21	21	26
53	25	15	12	19	35	44
53	25	26	2	35	35	58
53	25	25	2	18	18	23
53	25	29	2	31	31	36
53	25	16	4	4	5	46
53	25	172	1	49	49	49
53	25	42	1	74	74	74
53	25	21	1	24	24	24
53	25	31	1	58	58	58
53	25	101	1	31	31	31
53	25	40	1	82	82	82
53	25	33	1	54	54	54
53	25	37	1	60	60	60
54	20	34	1	23	23	23
54	20	19	6	25	29	43
54	20	13	7	19	30	37
54	20	12	10	12	17	32
54	20	11	16	13	24	44
54	20	9	26	13	21	25
54	20	8	24	8	16	27
54	20	6	38	7	13	18
54	20	5	53	7	9	16
54	20	4	138	6	9	13
54	20	3	178	5	7	11
54	20	2	421	4	6	10
54	20	45	1	36	36	36
54	20	14	7	8	25	30
54	20	10	18	9	20	29
54	20	7	33	9	13	24
54	20	30	1	47	47	47
54	20	22	2	43	43	52
54	20	37	2	29	29	43
54	20	17	5	36	39	40
54	20	15	6	10	23	43
54	20	40	1	10	10	10
54	20	55	1	80	80	80
54	20	28	2	16	16	71
54	20	18	3	29	72	78
54	20	29	3	25	59	69
54	20	27	3	24	31	52
54	20	16	3	18	20	40
54	20	24	1	15	15	15
54	20	20	2	21	21	38
54	20	21	1	41	41	41
54	20	25	1	34	34	34
54	20	26	1	60	60	60
54	20	42	1	41	41	41
54	20	23	1	30	30	30
55	26	28	2	19	19	76
55	26	16	6	10	23	56
55	26	14	9	21	29	38
55	26	13	16	13	23	38
55	26	11	23	11	19	26
55	26	8	34	9	15	22
55	26	7	37	10	15	21
55	26	6	49	8	13	20
55	26	5	58	6	10	17
55	26	4	154	7	10	16
55	26	3	226	5	8	12
55	26	2	608	4	6	10
55	26	20	4	15	15	30
55	26	10	11	15	28	45
55	26	9	21	13	15	22
55	26	188	1	22	22	22
55	26	41	1	32	32	32
55	26	34	3	32	35	58
55	26	21	3	25	45	53
55	26	18	7	18	24	42
55	26	12	12	12	18	33
55	26	54	1	13	13	13
55	26	44	1	24	24	24
55	26	39	1	29	29	29
55	26	26	3	8	35	44
55	26	35	2	13	13	62
55	26	32	2	24	24	77
55	26	19	4	16	33	44
