depth	imgcount	area	nbr	greylimit1	greylimit2	greylimit3
2	20	6	20	8	10	27
2	20	5	52	6	9	15
2	20	3	134	5	7	12
2	20	2	506	3	4	6
2	20	131	1	82	82	82
2	20	13	3	14	56	62
2	20	8	14	10	14	17
2	20	7	19	8	13	22
2	20	4	98	6	9	12
2	20	90	1	28	28	28
2	20	30	1	19	19	19
2	20	21	1	29	29	29
2	20	12	6	6	6	12
2	20	11	7	7	11	38
2	20	44	1	19	19	19
2	20	45	1	8	8	8
2	20	9	5	7	8	19
2	20	14	3	7	12	43
2	20	36	1	21	21	21
2	20	17	2	7	7	36
2	20	18	3	5	15	20
2	20	25	1	62	62	62
2	20	10	2	38	38	44
2	20	60	1	5	5	5
2	20	16	2	7	7	12
2	20	464	1	75	75	75
3	50	316	1	24	24	24
3	50	17	2	14	14	23
3	50	10	28	3	6	13
3	50	6	116	4	7	11
3	50	5	164	3	6	11
3	50	4	262	3	6	9
3	50	3	473	3	4	7
3	50	2	1567	3	3	4
3	50	246	1	8	8	8
3	50	12	13	7	12	17
3	50	9	35	4	8	13
3	50	7	68	3	5	10
3	50	160	1	4	4	4
3	50	11	10	3	5	10
3	50	8	56	4	8	13
3	50	27	2	6	6	9
3	50	14	9	4	9	10
3	50	13	13	3	6	10
3	50	20	4	3	4	33
3	50	2287	1	5	5	5
3	50	12058	1	12	12	12
3	50	1280	1	3	3	3
3	50	92	1	3	3	3
3	50	71	2	3	3	3
3	50	62	1	3	3	3
3	50	57	1	3	3	3
3	50	40	1	3	3	3
3	50	34	2	3	3	3
3	50	30	1	3	3	3
3	50	29	4	3	13	25
3	50	28	1	3	3	3
3	50	24	4	3	3	22
3	50	23	1	3	3	3
3	50	21	3	3	3	20
3	50	18	5	3	3	3
3	50	16	3	3	4	9
3	50	15	5	3	3	4
3	50	918	1	4	4	4
3	50	26	1	3	3	3
3	50	2735	1	4	4	4
3	50	54	1	3	3	3
3	50	42	1	3	3	3
3	50	33	1	3	3	3
3	50	31	1	3	3	3
3	50	10483	1	6	6	6
3	50	19	3	8	12	31
3	50	58	1	17	17	17
3	50	48	1	3	3	3
3	50	134	1	4	4	4
3	50	218	1	15	15	15
3	50	199	1	10	10	10
3	50	187	1	12	12	12
3	50	222	1	15	15	15
3	50	46	1	21	21	21
3	50	32	1	10	10	10
3	50	313	1	14	14	14
3	50	110	1	4	4	4
3	50	64	1	12	12	12
3	50	106	1	5	5	5
3	50	253	1	57	57	57
3	50	297	1	26	26	26
3	50	193	1	6	6	6
3	50	72	1	84	84	84
3	50	453	1	6	6	6
3	50	36	1	5	5	5
4	58	17	5	14	15	15
4	58	9	17	7	8	10
4	58	7	35	8	10	13
4	58	6	63	7	10	15
4	58	5	86	6	10	12
4	58	4	176	5	8	12
4	58	3	291	4	7	9
4	58	2	1230	3	3	5
4	58	31	1	13	13	13
4	58	8	26	8	11	14
4	58	10	8	9	12	27
4	58	13	7	11	15	19
4	58	27	2	15	15	96
4	58	11	8	8	10	19
4	58	21	2	14	14	49
4	58	26	1	13	13	13
4	58	35	2	18	18	18
4	58	23	4	6	17	79
4	58	12	3	6	13	37
4	58	34	1	22	22	22
4	58	25	2	39	39	81
4	58	40	1	18	18	18
4	58	20	1	84	84	84
4	58	16	2	6	6	18
4	58	19	5	6	9	15
4	58	46	1	9	9	9
4	58	22	1	19	19	19
4	58	15	2	14	14	16
4	58	30	1	15	15	15
4	58	51	1	36	36	36
4	58	18	2	6	6	16
4	58	329	1	61	61	61
4	58	24	1	22	22	22
4	58	14	1	10	10	10
5	24	11	5	7	9	12
5	24	8	14	6	13	21
5	24	6	14	9	11	15
5	24	5	40	5	9	11
5	24	4	57	5	8	11
5	24	3	85	4	6	9
5	24	2	575	3	3	5
5	24	35	1	25	25	25
5	24	12	2	5	5	18
5	24	16	1	10	10	10
5	24	7	16	5	8	9
5	24	9	5	6	8	11
5	24	10	3	4	12	15
5	24	14	1	53	53	53
5	24	18	1	27	27	27
5	24	15	2	10	10	10
5	24	13	3	6	10	31
5	24	19	1	5	5	5
5	24	21	1	10	10	10
5	24	20	1	11	11	11
6	24	9	7	9	10	15
6	24	6	29	6	8	14
6	24	4	46	5	7	11
6	24	3	90	4	6	9
6	24	2	352	3	4	6
6	24	30	1	21	21	21
6	24	17	4	7	7	18
6	24	15	2	7	7	11
6	24	5	25	6	10	14
6	24	45	1	7	7	7
6	24	7	21	7	9	11
6	24	14	2	8	8	11
6	24	12	2	13	13	16
6	24	10	8	7	9	18
6	24	20	1	17	17	17
6	24	8	11	8	10	12
6	24	13	3	4	17	40
6	24	27	1	15	15	15
6	24	21	1	13	13	13
6	24	11	1	14	14	14
7	40	30	1	67	67	67
7	40	17	1	6	6	6
7	40	14	2	15	15	16
7	40	12	5	15	16	18
7	40	9	12	7	10	13
7	40	6	30	7	10	13
7	40	4	101	5	8	11
7	40	3	136	4	6	8
7	40	2	644	3	4	6
7	40	101	1	31	31	31
7	40	5	53	6	9	12
7	40	115	1	13	13	13
7	40	18	3	12	27	38
7	40	8	15	10	12	16
7	40	7	19	8	12	20
7	40	118	1	4	4	4
7	40	13	3	6	8	13
7	40	10	8	6	10	16
7	40	20	3	6	7	11
7	40	27	1	13	13	13
7	40	16	4	8	14	19
7	40	19	2	13	13	22
7	40	23	2	12	12	12
7	40	11	4	8	9	17
7	40	67	1	32	32	32
7	40	26	1	8	8	8
7	40	21	2	9	9	10
8	67	9	21	9	12	18
8	67	5	83	7	10	15
8	67	4	149	6	8	11
8	67	3	253	5	7	10
8	67	2	922	3	4	6
8	67	21	1	27	27	27
8	67	27	1	10	10	10
8	67	7	36	7	11	15
8	67	6	51	7	10	14
8	67	8	20	8	11	19
8	67	11	10	10	11	13
8	67	15	5	10	10	17
8	67	12	5	11	15	17
8	67	20	1	26	26	26
8	67	23	1	11	11	11
8	67	18	2	8	8	13
8	67	10	8	6	8	10
8	67	16	3	5	11	15
8	67	17	2	6	6	19
8	67	13	3	8	9	14
8	67	19	2	4	4	19
8	67	35	1	11	11	11
8	67	45	1	20	20	20
8	67	22	1	23	23	23
8	67	47	1	42	42	42
8	67	31	1	25	25	25
9	27	8	7	7	14	20
9	27	6	21	7	10	15
9	27	4	61	6	7	10
9	27	3	76	5	7	10
9	27	2	382	3	4	6
9	27	20	1	7	7	7
9	27	7	23	7	9	13
9	27	5	42	7	9	13
9	27	28	2	5	5	11
9	27	25	1	17	17	17
9	27	19	2	13	13	15
9	27	13	4	4	12	22
9	27	12	3	11	22	23
9	27	38	1	11	11	11
9	27	22	1	17	17	17
9	27	11	7	11	15	19
9	27	10	7	11	12	14
9	27	17	1	18	18	18
9	27	9	3	6	13	14
9	27	77	1	44	44	44
9	27	29	1	7	7	7
9	27	14	1	8	8	8
9	27	139	1	87	87	87
9	27	150	1	8	8	8
9	27	16	1	6	6	6
9	27	15	1	14	14	14
