orig_id	objid	name	taxo_hierarchy	classif_qual	depth_including_offset	psampleid	%area	angle	area	area_exc	areai	bx	by	cdexc	centroids	circ.	circex	compentropy	compm1	compm2	compm3	compmean	compslope	convarea	convarea_area	convperim	convperim_perim	cv	elongation	esd	fcons	feret	feretareaexc	fractal	height	histcum1	histcum2	histcum3	intden	kurt	kurt_mean	major	max	mean	meanpos	median	median_mean	median_mean_range	min	minor	mode	nb1	nb1_area	nb1_range	nb2	nb2_area	nb2_range	nb3	nb3_area	nb3_range	perim.	perimareaexc	perimferet	perimmajor	range	skelarea	skeleton_area	skew	skew_mean	slope	sr	stddev	symetrieh	symetrieh_area	symetriehc	symetriev	symetriev_area	symetrievc	tag	thickr	width	x	xm	xmg5	xstart	y	ym	ymg5	ystart
bats361_ctd26_244	146293296	detritus	not-living>detritus	V	61.800000000000004	33979	100.0	84.3	96.0	0.0	93.0	12.0	15.0		0.0	0.622	0.0	0.0	0.0	0.0	0.0	0.0	0.0	117.0	1.21875	46.0	1.04545454545455	11.411016019311	1.55555555555556	11.0558127830827	0.0	15.3		0.797	14.0	215.0	236.0	246.0	21874.0	1.351	0.0043888523151196	13.9	253.0	227.85	-0.303560651780326	237.0	9.15000000000001	0.0847222222222223	145.0	8.8	252.0	1.0	0.0104166666666667	0.00925925925925926	2.0	0.0208333333333333	0.0185185185185185	1.0	0.0104166666666667	0.00925925925925926	44.04		2.93333333333333	3.14285714285714	108.0	15.0	0.15625	-1.374	-0.0043888523151196	0.013	24.0740740740741	25.561	2.12	0.0208333333333333	2.0	2.12	0.0208333333333333	2.0	1.0	1.674	11.0	18.42	18.41	0.0	17.0	22.59	22.72	0.0	15.0
bats361_ctd26_40	146286493	badfocus<artefact	not-living>artefact>badfocus	V	21.8	33979	94.79	148.2	211.0	11.0	164.0	19.0	17.0	0.0	0.0	0.206	0.0108254426155494	0.0	0.0	0.0	0.0	0.0	0.0	291.0	1.37914691943128	70.0	0.619469026548673	0.795323497832743	1.26666666666667	16.3906541644658	0.0	25.5	7.83929495902185	0.999	19.0	250.0	251.0	251.0	53060.0	0.823	0.00397661748916372	18.6	255.0	251.47	-0.645338208409507	252.0	0.530000000000001	0.058888888888889	246.0	14.5	252.0	0.0	0.0	0.0	1.0	0.004739336492891	0.111111111111111	1.0	0.004739336492891	0.111111111111111	113.44	34.0707819372873	4.34615384615385	5.94736842105263	9.0	95.0	0.450236966824645	-0.871	-0.00397661748916372	0.08	22.2222222222222	1.622	2.045	0.00947867298578199	4.0	2.045	0.00947867298578199	4.0	1.0	3.628	18.0	27.71	27.71	0.0	23.0	26.42	26.42	0.0	17.0
bats361_ctd26_278	146284813	detritus	not-living>detritus	V	65.8	33979	100.0	74.3	102.0	0.0	93.0	12.0	15.0		0.0	0.767	0.0	0.0	0.0	0.0	0.0	0.0	0.0	111.0	1.08823529411765	46.0	1.1219512195122	49.3479027141346	1.4	11.396070970426	0.0	14.8		0.787	14.0	94.0	203.0	243.0	17362.0	-0.933	-0.00587475032311127	13.7	253.0	170.22	-0.486311831747151	205.0	34.78	0.137470355731225	0.0	9.5	253.0	1.0	0.00980392156862745	0.00395256916996047	1.0	0.00980392156862745	0.00395256916996047	1.0	0.00980392156862745	0.00395256916996047	40.87		2.73333333333333	2.92857142857143	253.0	12.0	0.117647058823529	-0.705	-0.00587475032311127	0.012	33.201581027668	84.034	2.025	0.0196078431372549	2.0	2.044	0.0196078431372549	2.0	1.0	1.474	11.0	17.25	17.22	0.0	15.0	21.35	21.32	0.0	15.0
bats361_ctd26_574	146286806	detritus	not-living>detritus	V	151.89999999999998	33979	100.0	40.6	87.0	0.0	81.0	13.0	12.0		1.0	0.566	0.0	0.0	0.0	0.0	0.0	0.0	0.0	103.0	1.18390804597701	42.0	0.954545454545455	43.3864246160872	1.1	10.5248202071085	0.0	14.9		0.783	11.0	97.0	212.0	247.0	15240.0	-1.467	-0.00570874008106411	11.4	253.0	175.17	-0.543619473353356	213.0	37.83	0.171176470588235	32.0	9.7	248.0	1.0	0.0114942528735632	0.00452488687782805	1.0	0.0114942528735632	0.00452488687782805	1.0	0.0114942528735632	0.00452488687782805	43.94		2.93333333333333	4.0	221.0	18.0	0.206896551724138	-0.423	0.0	0.011	34.3891402714932	75.776	1.948	0.0229885057471264	2.0	1.983	0.0229885057471264	2.0	1.0	1.949	12.0	18.75	18.73	0.0	17.0	17.4	17.56	0.0	12.0
bats361_ctd26_387	146289555	badfocus<artefact	not-living>artefact>badfocus	V	86.60000000000001	33979	98.52	56.0	270.0	4.0	228.0	18.0	21.0	0.0	0.0	0.345	0.00512860753570418	0.0	0.0	0.0	0.0	0.0	0.0	323.0	1.1962962962963	84.0	0.848484848484849	1.20641814452889	1.3125	18.5411616971131	0.0	24.5	12.5	0.977	24.0	245.0	248.0	251.0	67142.0	-0.672	-0.00402139381509631	21.0	255.0	248.67	-0.730103806228376	249.0	0.330000000000013	0.0220000000000008	240.0	16.4	253.0	1.0	0.0037037037037037	0.0666666666666667	1.0	0.0037037037037037	0.0666666666666667	1.0	0.0037037037037037	0.0666666666666667	99.2	49.5	3.96	4.71428571428571	15.0	78.0	0.288888888888889	-0.435	0.0	0.068	20.0	3.432	2.515	0.0111111111111111	2.0	2.493	0.00740740740740741	2.0	1.0	1.979	21.0	29.33	29.32	0.0	32.0	32.56	32.57	0.0	21.0
bats361_ctd26_151	146288765	Copepoda	living>Eukaryota>Opisthokonta>Holozoa>Metazoa>Arthropoda>Crustacea>Maxillopoda>Copepoda	V	46.400000000000006	33979	100.0	113.1	205.0	0.0	196.0	17.0	33.0		0.0	0.35	0.0	0.0	0.0	0.0	0.0	0.0	0.0	252.0	1.22926829268293	96.0	1.11627906976744	14.7130946542423	3.22222222222222	16.1559310060024	0.0	36.4		0.933	34.0	217.0	233.0	247.0	45980.0	3.744	0.0178340541263543	28.9	253.0	224.29	-0.217023206591579	234.0	9.71000000000001	0.0603105590062112	92.0	9.0	248.0	2.0	0.00975609756097561	0.0124223602484472	1.0	0.0048780487804878	0.0062111801242236	1.0	0.0048780487804878	0.0062111801242236	85.74		2.38888888888889	2.96551724137931	161.0	28.0	0.136585365853659	-1.939	-0.00891702706317714	0.026	20.4968944099379	32.857	4.68	0.024390243902439	3.0	4.802	0.024390243902439	3.0	1.0	1.938	17.0	25.24	25.29	0.0	21.0	46.23	46.45	0.0	33.0
bats361_ctd26_330	146289388	detritus	not-living>detritus	V	73.8	33979	99.21	135.2	127.0	1.0	124.0	15.0	16.0	0.0	0.0	0.701	0.00545415391248228	0.0	0.0	0.0	0.0	0.0	0.0	147.0	1.15748031496063	54.0	1.125	14.1397555190659	1.7	12.716187407449	0.0	18.0	18.0	0.83	15.0	194.0	229.0	245.0	27844.0	-0.363	0.0	16.5	255.0	219.24	-0.371571072319202	230.0	10.76	0.0815151515151514	123.0	9.8	252.0	0.0	0.0	0.0	2.0	0.015748031496063	0.0151515151515152	1.0	0.0078740157480315	0.00757575757575758	47.7	48.0	2.66666666666667	2.82352941176471	132.0	24.0	0.188976377952756	-0.804	-0.00456121145776318	0.014	23.4848484848485	30.729	2.173	0.015748031496063	3.0	2.157	0.015748031496063	2.0	1.0	1.7	14.0	22.0	22.09	0.0	16.0	22.6	22.71	0.0	16.0
bats361_ctd26_293	146281922	fiber<detritus	not-living>detritus>fiber	V	67.60000000000001	33979	100.0	118.0	97.0	0.0	92.0	14.0	19.0		0.0	0.367	0.0	0.0	0.0	0.0	0.0	0.0	0.0	141.0	1.45360824742268	61.0	1.05172413793103	11.8968935888962	3.16666666666667	11.1132459632328	0.0	22.0		0.846	20.0	208.0	238.0	247.0	22014.0	-0.092	0.0	19.4	253.0	226.95	-0.362056984016678	239.0	12.05	0.12295918367347	155.0	6.4	247.0	1.0	0.0103092783505155	0.0102040816326531	3.0	0.0309278350515464	0.0306122448979592	2.0	0.0206185567010309	0.0204081632653061	57.6		2.63636363636364	3.05263157894737	98.0	18.0	0.185567010309278	-1.045	-0.00440625688477638	0.015	27.5510204081633	27.229	3.897	0.0412371134020619	4.0	3.629	0.0412371134020619	4.0	1.0	1.711	13.0	22.19	22.08	0.0	19.0	28.73	28.57	0.0	19.0
bats361_ctd26_759	146285851	Acantharea	living>Eukaryota>Harosa>Rhizaria>Retaria>Acantharea	V	372.09999999999997	33979	100.0	159.4	85.0	0.0	81.0	15.0	15.0		1.0	0.307	0.0	0.0	0.0	0.0	0.0	0.0	0.0	144.0	1.69411764705882	57.0	0.966101694915254	19.5561215208295	1.1	10.4031418957202	0.0	17.9		0.84	15.0	206.0	239.0	249.0	18690.0	4.885	0.0227396761870111	10.8	253.0	219.88	-0.16405785615217	240.0	20.12	0.0856170212765958	18.0	10.0	252.0	1.0	0.0117647058823529	0.00425531914893617	1.0	0.0117647058823529	0.00425531914893617	2.0	0.0235294117647059	0.00851063829787234	59.01		3.27777777777778	5.36363636363636	235.0	29.0	0.341176470588235	-2.005	-0.00909587047480444	0.013	18.2978723404255	43.036	3.706	0.0470588235294118	4.0	3.424	0.0352941176470588	3.0	1.0	3.045	16.0	24.51	24.47	0.0	26.0	22.83	22.9	0.0	15.0
bats361_ctd26_754	146283709	detritus	not-living>detritus	V	368.09999999999997	33979	94.94	173.8	534.0	27.0	494.0	38.0	28.0	0.192450089729875	1.0	0.273	0.0137649400214085	0.0	0.0	0.0	0.0	0.0	0.0	713.0	1.33520599250936	126.0	0.802547770700637	28.1002395430256	1.52380952380952	26.0750822987882	0.0	37.6	7.31310340973526	1.123	28.0	212.0	243.0	249.0	115920.0	4.171	0.0184263865855906	32.2	255.0	217.08	-0.174682144831398	245.0	27.92	0.109490196078431	0.0	21.1	250.0	2.0	0.00374531835205993	0.00784313725490196	5.0	0.00936329588014981	0.0196078431372549	3.0	0.00561797752808989	0.0117647058823529	156.89	30.2146640875904	4.13157894736842	4.90625	255.0	148.0	0.277153558052434	-2.226	-0.00921319329279528	0.077	23.921568627451	61.005	2.383	0.00374531835205993	3.0	2.604	0.00561797752808989	4.0	1.0	2.679	37.0	60.08	59.89	0.0	60.0	41.27	41.57	0.0	28.0
