depth	imgcount	area	nbr	greylimit1	greylimit2	greylimit3
49	1	2	1	4	4	4
50	8	7	19	9	11	17
50	8	6	17	7	9	13
50	8	3	61	5	7	11
50	8	2	135	4	6	9
50	8	26	2	17	17	25
50	8	15	5	23	28	31
50	8	13	5	12	16	30
50	8	11	8	14	20	31
50	8	10	4	13	22	31
50	8	8	13	10	14	21
50	8	5	26	9	12	17
50	8	108	1	47	47	47
50	8	19	4	16	27	47
50	8	14	2	16	16	38
50	8	12	5	13	21	30
50	8	4	35	7	10	16
50	8	125	1	25	25	25
50	8	41	1	59	59	59
50	8	18	3	18	31	65
50	8	9	4	6	10	21
50	8	30	1	8	8	8
50	8	29	1	50	50	50
50	8	17	2	9	9	21
50	8	22	1	4	4	4
50	8	21	1	85	85	85
50	8	36	1	30	30	30
50	8	27	2	4	4	27
50	8	16	3	9	14	44
50	8	53	1	5	5	5
50	8	28	1	55	55	55
51	33	42	2	24	24	51
51	33	28	7	22	28	37
51	33	27	3	4	28	30
51	33	19	9	14	22	27
51	33	17	14	16	19	31
51	33	14	22	11	20	29
51	33	10	40	9	12	25
51	33	9	43	9	18	29
51	33	8	52	11	14	21
51	33	7	68	9	14	20
51	33	6	97	8	12	18
51	33	5	148	7	11	18
51	33	4	229	6	9	14
51	33	3	337	5	7	10
51	33	2	851	4	6	9
51	33	23	6	9	26	48
51	33	34	3	40	52	61
51	33	13	23	8	23	30
51	33	12	34	16	20	30
51	33	30	4	4	20	76
51	33	116	1	77	77	77
51	33	49	2	4	4	44
51	33	15	9	15	25	32
51	33	11	23	12	16	21
51	33	24	5	8	15	50
51	33	18	9	15	24	36
51	33	16	17	11	17	38
51	33	25	5	22	23	37
51	33	22	8	10	12	32
51	33	79	1	62	62	62
51	33	54	1	9	9	9
51	33	47	1	54	54	54
51	33	44	3	34	50	56
51	33	48	1	43	43	43
51	33	41	3	5	28	55
51	33	33	1	47	47	47
51	33	20	9	21	25	34
51	33	26	1	19	19	19
51	33	76	1	71	71	71
51	33	50	1	17	17	17
51	33	21	5	12	15	16
51	33	31	2	17	17	31
51	33	29	3	31	40	78
51	33	138	1	62	62	62
51	33	66	1	66	66	66
51	33	45	1	44	44	44
51	33	60	1	24	24	24
51	33	57	1	22	22	22
51	33	84	1	20	20	20
51	33	78	1	15	15	15
51	33	38	2	17	17	31
51	33	32	1	24	24	24
51	33	160	1	17	17	17
51	33	35	1	10	10	10
51	33	121	1	39	39	39
51	33	58	1	65	65	65
51	33	62	1	12	12	12
52	30	64	1	33	33	33
52	30	53	1	36	36	36
52	30	20	5	17	29	32
52	30	16	11	16	23	36
52	30	15	17	10	25	35
52	30	12	19	14	23	31
52	30	10	29	14	19	22
52	30	9	31	11	18	24
52	30	8	52	10	14	26
52	30	7	66	10	13	20
52	30	6	94	7	12	17
52	30	5	142	6	9	14
52	30	4	199	6	9	13
52	30	3	314	5	7	11
52	30	2	795	4	6	9
52	30	46	3	31	42	52
52	30	13	19	14	23	31
52	30	11	28	11	15	21
52	30	17	13	15	21	28
52	30	44	3	39	50	56
52	30	30	6	7	13	31
52	30	26	2	6	6	42
52	30	19	11	13	32	38
52	30	52	1	32	32	32
52	30	22	5	27	33	37
52	30	59	2	29	29	90
52	30	28	3	19	24	31
52	30	27	5	14	42	61
52	30	21	3	15	47	82
52	30	14	17	15	25	30
52	30	31	4	5	58	77
52	30	49	1	63	63	63
52	30	25	4	7	26	53
52	30	61	1	64	64	64
52	30	38	1	12	12	12
52	30	33	2	12	12	36
52	30	29	4	10	29	64
52	30	50	2	31	31	46
52	30	45	1	38	38	38
52	30	40	1	27	27	27
52	30	77	1	25	25	25
52	30	57	1	43	43	43
52	30	23	2	31	31	35
52	30	18	13	20	22	28
52	30	36	2	28	28	37
52	30	69	1	34	34	34
52	30	47	1	68	68	68
52	30	35	3	41	46	48
52	30	74	1	23	23	23
52	30	32	2	7	7	27
52	30	24	3	12	32	45
52	30	72	1	59	59	59
52	30	41	1	18	18	18
52	30	79	1	36	36	36
52	30	48	1	60	60	60
52	30	43	1	29	29	29
52	30	37	1	19	19	19
52	30	42	1	41	41	41
52	30	51	2	7	7	22
53	36	35	1	87	87	87
53	36	25	6	10	21	31
53	36	23	5	32	38	40
53	36	16	15	8	19	48
53	36	15	12	15	24	38
53	36	11	26	8	13	18
53	36	10	28	9	13	22
53	36	9	40	9	13	22
53	36	8	52	8	15	22
53	36	7	76	9	14	20
53	36	6	84	8	12	18
53	36	5	133	7	10	14
53	36	4	220	6	9	14
53	36	3	339	5	7	11
53	36	2	908	4	6	9
53	36	41	4	19	36	45
53	36	37	6	7	8	21
53	36	27	4	26	39	57
53	36	14	17	18	21	34
53	36	13	21	13	23	31
53	36	12	24	14	24	28
53	36	45	1	53	53	53
53	36	29	3	14	16	17
53	36	24	5	33	38	42
53	36	38	2	70	70	74
53	36	30	2	9	9	24
53	36	22	11	15	34	47
53	36	21	10	17	27	55
53	36	26	3	6	38	40
53	36	48	2	23	23	76
53	36	49	2	37	37	50
53	36	104	1	19	19	19
53	36	18	7	18	19	40
53	36	81	1	69	69	69
53	36	121	1	24	24	24
53	36	20	10	11	24	47
53	36	43	1	53	53	53
53	36	36	2	20	20	36
53	36	31	4	14	18	23
53	36	79	1	72	72	72
53	36	33	4	5	9	52
53	36	28	2	26	26	43
53	36	74	2	44	44	51
53	36	61	1	91	91	91
53	36	17	8	11	19	40
53	36	64	1	11	11	11
53	36	72	1	16	16	16
53	36	19	4	20	27	46
53	36	96	1	37	37	37
53	36	62	1	11	11	11
53	36	109	1	27	27	27
53	36	34	1	19	19	19
53	36	39	2	34	34	50
53	36	32	2	53	53	78
53	36	263	1	26	26	26
53	36	67	1	4	4	4
53	36	68	1	3	3	3
54	50	37	4	22	22	79
54	50	27	7	5	21	39
54	50	25	2	42	42	53
54	50	23	14	15	19	30
54	50	20	9	15	18	25
54	50	17	14	20	25	42
54	50	15	25	10	20	35
54	50	13	23	11	16	26
54	50	11	31	7	15	23
54	50	10	35	9	13	21
54	50	8	59	10	13	18
54	50	7	94	9	13	18
54	50	6	130	9	13	18
54	50	4	329	6	9	13
54	50	3	512	5	7	11
54	50	2	1199	4	6	9
54	50	54	1	46	46	46
54	50	31	7	33	48	56
54	50	21	11	24	30	36
54	50	12	28	11	21	34
54	50	9	56	11	16	22
54	50	5	172	7	10	14
54	50	39	3	27	58	87
54	50	32	3	29	45	92
54	50	29	2	10	10	30
54	50	40	3	6	39	67
54	50	28	5	14	16	19
54	50	16	16	13	17	38
54	50	14	28	11	19	31
54	50	18	13	15	19	28
54	50	61	1	53	53	53
54	50	34	5	24	39	52
54	50	43	5	25	29	34
54	50	36	1	25	25	25
54	50	22	6	30	31	50
54	50	19	11	16	25	56
54	50	45	2	26	26	50
54	50	50	1	24	24	24
54	50	47	1	48	48	48
54	50	30	2	4	4	44
54	50	24	10	17	22	68
54	50	58	1	23	23	23
54	50	42	1	29	29	29
54	50	35	2	33	33	40
54	50	33	2	4	4	28
54	50	26	5	33	47	50
54	50	46	1	33	33	33
54	50	56	1	22	22	22
54	50	59	1	44	44	44
54	50	72	1	46	46	46
54	50	41	2	10	10	41
54	50	164	1	43	43	43
54	50	77	1	41	41	41
54	50	67	1	43	43	43
54	50	38	1	75	75	75
54	50	51	1	77	77	77
54	50	84	1	69	69	69
54	50	94	1	67	67	67
54	50	96	1	68	68	68
54	50	71	1	24	24	24
55	39	18	8	32	33	55
55	39	16	15	17	24	36
55	39	13	29	12	20	26
55	39	12	25	10	18	24
55	39	9	54	10	14	18
55	39	8	45	10	15	19
55	39	6	93	7	11	16
55	39	5	143	7	10	16
55	39	4	248	6	8	12
55	39	3	345	5	7	10
55	39	2	973	4	6	9
55	39	65	2	12	12	44
55	39	41	2	43	43	51
55	39	30	4	40	46	66
55	39	21	8	9	29	52
55	39	20	9	24	33	39
55	39	19	12	10	16	29
55	39	17	13	15	25	32
55	39	7	80	7	12	17
55	39	57	1	58	58	58
55	39	44	3	47	49	61
55	39	34	4	27	39	64
55	39	25	2	4	4	27
55	39	22	8	13	31	39
55	39	14	22	21	24	31
55	39	11	33	9	16	23
55	39	99	1	9	9	9
55	39	39	3	49	70	73
55	39	10	32	9	14	26
55	39	72	1	41	41	41
55	39	75	1	22	22	22
55	39	73	1	39	39	39
55	39	23	11	16	30	39
55	39	86	2	18	18	37
55	39	29	1	5	5	5
55	39	24	8	8	32	67
55	39	51	3	10	28	31
55	39	15	19	12	23	31
55	39	79	1	32	32	32
55	39	31	4	3	15	84
55	39	28	2	44	44	58
55	39	32	3	7	42	46
55	39	100	1	39	39	39
55	39	74	2	27	27	48
55	39	50	1	49	49	49
55	39	26	1	8	8	8
55	39	95	1	24	24	24
55	39	81	2	30	30	51
55	39	33	3	10	11	29
55	39	27	4	4	35	78
55	39	67	1	67	67	67
55	39	38	3	31	61	65
55	39	54	1	57	57	57
55	39	43	1	52	52	52
55	39	52	1	46	46	46
55	39	46	1	41	41	41
55	39	60	1	36	36	36
55	39	59	1	15	15	15
55	39	66	1	27	27	27
55	39	64	2	33	33	97
55	39	58	1	27	27	27
55	39	48	1	65	65	65
55	39	47	1	55	55	55
55	39	37	1	52	52	52
56	20	39	1	5	5	5
56	20	15	13	16	24	33
56	20	14	8	5	24	36
56	20	13	11	16	30	37
56	20	11	14	11	22	28
56	20	8	36	8	14	19
56	20	7	27	6	12	15
56	20	6	40	8	13	19
56	20	5	64	7	11	17
56	20	4	102	6	9	14
56	20	3	183	5	7	11
56	20	2	484	4	6	9
56	20	17	9	19	20	28
56	20	10	14	14	18	22
56	20	9	21	15	19	25
56	20	35	2	43	43	46
56	20	22	2	27	27	44
56	20	27	2	33	33	66
56	20	40	1	68	68	68
56	20	25	4	12	36	61
56	20	23	2	18	18	36
56	20	12	14	13	22	26
56	20	36	1	56	56	56
56	20	21	2	21	21	38
56	20	52	2	44	44	53
56	20	18	8	9	18	28
56	20	16	3	17	26	45
56	20	24	3	10	55	59
56	20	43	1	48	48	48
56	20	41	1	34	34	34
56	20	29	2	10	10	47
56	20	49	1	46	46	46
56	20	26	1	85	85	85
56	20	20	1	18	18	18
56	20	63	1	27	27	27
56	20	61	1	7	7	7
56	20	50	1	48	48	48
56	20	54	1	48	48	48
56	20	53	1	10	10	10
56	20	38	1	11	11	11
56	20	30	1	52	52	52
56	20	86	1	25	25	25
56	20	32	1	8	8	8
56	20	19	1	28	28	28
56	20	34	1	58	58	58
57	23	69	1	87	87	87
57	23	42	2	44	44	59
57	23	21	4	22	23	43
57	23	18	10	11	22	37
57	23	14	13	10	23	24
57	23	13	10	10	19	29
57	23	11	22	10	16	23
57	23	10	25	10	14	24
57	23	8	41	8	11	18
57	23	7	44	9	12	17
57	23	6	76	8	12	18
57	23	5	78	6	10	14
57	23	4	138	6	9	14
57	23	3	212	5	8	11
57	23	2	567	4	6	10
57	23	84	1	41	41	41
57	23	48	4	23	29	46
57	23	17	13	14	28	45
57	23	16	7	15	38	42
57	23	15	6	12	17	39
57	23	28	5	27	29	31
57	23	27	3	4	6	23
57	23	25	6	7	41	56
57	23	9	28	10	16	25
57	23	49	1	45	45	45
57	23	46	3	11	41	64
57	23	40	3	5	32	36
57	23	35	2	33	33	38
57	23	26	2	4	4	21
57	23	23	7	15	32	55
57	23	20	3	4	11	19
57	23	77	1	52	52	52
57	23	57	2	55	55	61
57	23	29	6	7	15	33
57	23	12	11	14	22	27
57	23	24	6	5	25	32
