depth	imgcount	area	nbr	greylimit1	greylimit2	greylimit3
3	70	26	31	9	22	41
3	70	22	46	12	25	44
3	70	21	54	11	17	31
3	70	17	94	12	22	40
3	70	16	104	13	23	36
3	70	15	139	12	23	32
3	70	14	154	12	23	35
3	70	13	218	11	18	29
3	70	12	309	11	19	29
3	70	11	375	12	19	30
3	70	10	573	10	16	26
3	70	9	793	11	17	26
3	70	8	1080	9	14	22
3	70	7	1650	8	13	21
3	70	6	2550	7	11	18
3	70	5	3928	7	10	16
3	70	4	7547	6	9	13
3	70	3	12233	5	7	10
3	70	2	34438	3	5	8
3	70	30	13	19	36	53
3	70	29	13	10	19	25
3	70	20	46	13	26	38
3	70	18	77	13	20	34
3	70	35	9	17	29	49
3	70	31	9	22	44	55
3	70	19	68	11	25	40
3	70	27	20	19	22	51
3	70	23	38	13	19	34
3	70	43	5	18	30	37
3	70	28	15	18	27	51
3	70	34	6	11	17	34
3	70	25	25	12	22	40
3	70	24	27	11	18	51
3	70	40	5	15	15	35
3	70	39	5	17	20	30
3	70	37	6	17	39	45
3	70	33	8	10	23	44
3	70	42	4	20	28	43
3	70	53	3	29	33	73
3	70	41	3	21	23	28
3	70	51	2	6	6	19
3	70	32	8	15	20	31
3	70	45	3	15	17	42
3	70	48	1	14	14	14
3	70	58	1	9	9	9
3	70	57	1	76	76	76
3	70	36	5	16	17	24
3	70	38	4	7	11	52
3	70	44	1	33	33	33
3	70	80	1	58	58	58
3	70	56	1	26	26	26
3	70	52	1	19	19	19
3	70	50	1	93	93	93
3	70	101	1	29	29	29
4	47	48	2	14	14	15
4	47	29	12	7	14	52
4	47	28	14	13	22	41
4	47	27	15	16	24	36
4	47	25	21	10	15	36
4	47	21	35	15	23	44
4	47	20	48	13	21	32
4	47	19	41	8	18	35
4	47	18	51	14	26	43
4	47	17	72	11	19	34
4	47	16	86	12	23	38
4	47	15	102	11	22	31
4	47	14	123	13	20	32
4	47	13	158	14	20	33
4	47	12	225	12	19	28
4	47	11	261	13	20	31
4	47	10	415	11	17	26
4	47	9	540	10	16	23
4	47	8	817	9	14	22
4	47	7	1187	8	12	19
4	47	6	1740	7	11	17
4	47	5	2829	7	10	15
4	47	4	5264	6	8	13
4	47	3	8651	5	7	10
4	47	2	25579	3	5	8
4	47	37	4	15	18	26
4	47	34	5	11	19	32
4	47	24	15	14	23	40
4	47	33	11	13	31	43
4	47	240	1	45	45	45
4	47	31	8	11	18	40
4	47	206	1	14	14	14
4	47	32	9	16	25	30
4	47	214	1	7	7	7
4	47	69	1	77	77	77
4	47	39	5	10	30	39
4	47	251	1	5	5	5
4	47	50	2	7	7	7
4	47	23	23	15	30	44
4	47	46	4	13	21	38
4	47	35	5	25	33	35
4	47	30	12	6	13	47
4	47	22	21	13	20	30
4	47	26	19	11	17	27
4	47	42	2	18	18	37
4	47	67	2	26	26	40
4	47	49	3	28	31	35
4	47	45	4	10	11	36
4	47	36	1	43	43	43
4	47	68	3	11	21	35
4	47	54	2	13	13	30
4	47	63	3	17	45	50
4	47	75	2	46	46	48
4	47	61	1	50	50	50
4	47	40	1	29	29	29
4	47	38	2	21	21	23
4	47	66	1	25	25	25
4	47	44	2	15	15	18
4	47	86	1	13	13	13
4	47	115	1	12	12	12
4	47	76	1	20	20	20
4	47	52	1	9	9	9
4	47	53	1	20	20	20
5	39	33	7	11	54	54
5	39	30	10	17	31	45
5	39	25	13	11	17	36
5	39	24	24	12	24	37
5	39	22	24	11	17	34
5	39	21	19	13	25	36
5	39	20	27	8	16	36
5	39	19	38	14	21	39
5	39	18	42	11	18	32
5	39	17	56	12	19	37
5	39	15	82	10	19	32
5	39	14	91	10	17	30
5	39	13	121	12	19	31
5	39	12	190	14	22	32
5	39	11	243	12	18	30
5	39	10	309	12	18	26
5	39	9	445	10	15	25
5	39	8	620	9	14	23
5	39	7	952	8	13	21
5	39	6	1424	7	11	18
5	39	5	2279	7	10	15
5	39	4	4389	6	8	13
5	39	3	7095	5	7	10
5	39	2	20643	3	5	8
5	39	34	3	12	17	30
5	39	16	59	11	18	35
5	39	37	4	16	27	71
5	39	23	9	13	25	27
5	39	31	3	7	53	73
5	39	29	9	22	38	48
5	39	47	2	23	23	24
5	39	39	5	32	39	42
5	39	38	1	11	11	11
5	39	27	9	13	14	41
5	39	26	8	9	23	36
5	39	44	2	9	9	21
5	39	32	8	10	27	46
5	39	28	8	21	26	58
5	39	41	2	21	21	60
5	39	42	4	9	15	22
5	39	79	1	22	22	22
5	39	40	2	7	7	16
5	39	80	1	58	58	58
5	39	35	5	12	15	35
5	39	45	5	19	31	32
5	39	46	1	52	52	52
5	39	50	1	13	13	13
5	39	56	1	51	51	51
5	39	36	1	34	34	34
6	26	59	1	49	49	49
6	26	26	10	18	19	36
6	26	21	18	13	19	30
6	26	19	24	11	17	51
6	26	18	33	16	31	38
6	26	17	33	14	23	37
6	26	16	52	12	24	35
6	26	14	81	16	23	32
6	26	13	74	13	20	31
6	26	12	124	13	18	28
6	26	11	186	12	18	29
6	26	10	207	10	16	27
6	26	9	287	11	18	25
6	26	8	452	9	15	23
6	26	7	641	9	13	20
6	26	6	991	8	12	19
6	26	5	1684	6	9	15
6	26	4	2966	6	8	13
6	26	3	4843	5	7	11
6	26	2	13651	3	5	8
6	26	39	2	7	7	15
6	26	36	3	15	19	73
6	26	27	9	14	26	39
6	26	25	9	12	20	41
6	26	22	18	10	13	43
6	26	15	60	10	20	32
6	26	28	4	5	8	20
6	26	23	7	26	35	59
6	26	34	2	48	48	67
6	26	29	2	23	23	29
6	26	20	23	16	35	48
6	26	49	2	44	44	76
6	26	42	1	19	19	19
6	26	40	1	69	69	69
6	26	38	1	8	8	8
6	26	48	2	13	13	36
6	26	47	1	13	13	13
6	26	35	4	37	40	55
6	26	55	1	16	16	16
6	26	32	2	10	10	67
6	26	41	1	52	52	52
6	26	30	4	8	43	70
6	26	56	1	38	38	38
6	26	31	3	5	16	51
6	26	24	9	9	17	42
6	26	44	1	54	54	54
6	26	37	2	7	7	33
6	26	52	1	33	33	33
6	26	62	1	48	48	48
6	26	33	1	31	31	31
7	36	333	1	22	22	22
7	36	29	14	16	23	37
