depth	imgcount	area	nbr	greylimit1	greylimit2	greylimit3
3	20	18	3	4	8	27
3	20	16	10	12	30	42
3	20	14	12	7	13	28
3	20	11	17	12	22	27
3	20	10	25	11	19	28
3	20	9	46	12	18	24
3	20	8	59	10	14	20
3	20	7	82	11	15	22
3	20	6	139	9	15	24
3	20	5	229	9	12	17
3	20	4	444	7	10	15
3	20	3	585	5	8	12
3	20	2	1461	4	6	10
3	20	13	11	13	16	27
3	20	19	5	13	45	64
3	20	17	7	8	29	31
3	20	12	14	7	14	27
3	20	15	8	15	17	23
3	20	44	1	5	5	5
3	20	41	1	5	5	5
3	20	29	1	5	5	5
3	20	37	1	19	19	19
3	20	26	2	16	16	17
3	20	23	1	26	26	26
3	20	30	1	13	13	13
3	20	21	1	6	6	6
4	60	14	16	18	28	36
4	60	8	154	11	16	25
4	60	7	253	10	14	22
4	60	6	395	8	13	21
4	60	5	607	8	12	17
4	60	4	1214	7	10	15
4	60	3	1695	6	8	12
4	60	2	4372	4	6	10
4	60	25	3	7	10	20
4	60	20	6	14	22	31
4	60	12	30	11	18	37
4	60	11	41	16	24	31
4	60	10	68	12	19	36
4	60	36	1	12	12	12
4	60	41	1	9	9	9
4	60	13	26	18	30	44
4	60	9	99	11	16	24
4	60	17	10	14	20	37
4	60	15	24	13	24	35
4	60	29	3	10	36	79
4	60	19	3	17	28	57
4	60	23	7	12	19	36
4	60	22	5	11	18	34
4	60	21	8	6	13	51
4	60	16	16	13	22	50
4	60	35	2	9	9	44
4	60	26	3	11	15	63
4	60	18	5	11	11	15
4	60	45	1	14	14	14
4	60	28	3	27	34	51
4	60	30	3	9	17	67
4	60	24	2	16	16	17
4	60	47	1	23	23	23
4	60	50	1	11	11	11
4	60	27	1	9	9	9
5	26	35	1	71	71	71
5	26	17	9	11	18	33
5	26	15	6	13	24	32
5	26	11	29	10	17	31
5	26	10	38	11	16	30
5	26	9	59	10	17	24
5	26	8	78	11	13	22
5	26	7	131	10	16	22
5	26	6	207	10	14	22
5	26	5	333	8	13	19
5	26	4	580	7	9	15
5	26	3	822	5	8	11
5	26	2	2161	4	6	10
5	26	37	1	6	6	6
5	26	22	5	15	15	39
5	26	12	21	15	20	31
5	26	21	4	10	41	47
5	26	18	6	12	21	46
5	26	27	2	22	22	61
5	26	19	8	16	35	38
5	26	13	9	13	19	28
5	26	20	4	8	15	67
5	26	16	7	15	34	39
5	26	14	4	17	30	59
5	26	33	2	13	13	17
5	26	31	1	41	41	41
5	26	25	4	12	13	23
5	26	30	2	7	7	44
5	26	24	4	8	22	56
5	26	23	1	35	35	35
5	26	53	1	11	11	11
5	26	26	1	37	37	37
6	28	19	4	20	36	50
6	28	17	9	22	29	31
6	28	15	9	20	38	43
6	28	12	15	13	24	37
6	28	11	27	12	18	38
6	28	10	24	9	15	26
6	28	9	58	13	19	31
6	28	8	86	10	17	25
6	28	7	125	9	14	23
6	28	6	185	10	15	21
6	28	5	319	8	12	19
6	28	4	598	7	11	16
6	28	3	864	6	8	13
6	28	2	2020	4	6	10
6	28	67	1	30	30	30
6	28	16	7	10	19	42
6	28	14	11	14	15	34
6	28	20	2	19	19	36
6	28	38	1	78	78	78
6	28	31	1	33	33	33
6	28	25	2	13	13	39
6	28	13	11	19	30	38
6	28	32	1	50	50	50
6	28	18	7	35	43	51
6	28	28	1	18	18	18
6	28	22	4	6	8	16
6	28	29	1	12	12	12
6	28	43	1	27	27	27
6	28	23	2	12	12	21
6	28	24	1	49	49	49
6	28	41	1	9	9	9
6	28	46	1	35	35	35
6	28	34	1	42	42	42
7	27	23	4	20	33	60
7	27	21	8	11	17	49
7	27	20	6	19	34	38
7	27	15	10	12	27	55
7	27	12	20	9	14	35
7	27	11	33	10	16	28
7	27	10	51	9	16	24
7	27	9	70	10	14	22
7	27	8	79	12	19	29
7	27	7	120	9	15	20
7	27	6	173	8	13	21
7	27	5	298	8	12	19
7	27	4	549	7	10	14
7	27	3	768	5	8	12
7	27	2	1954	4	6	10
7	27	17	4	7	30	39
7	27	27	2	11	11	26
7	27	19	3	11	35	48
7	27	14	7	9	18	29
7	27	29	1	27	27	27
7	27	28	2	32	32	91
7	27	24	1	27	27	27
7	27	22	3	11	25	31
7	27	18	1	24	24	24
7	27	16	9	13	17	26
7	27	53	1	14	14	14
7	27	25	1	48	48	48
7	27	13	13	16	23	31
7	27	45	1	18	18	18
7	27	30	2	15	15	19
7	27	81	1	38	38	38
7	27	38	2	8	8	25
7	27	40	1	69	69	69
7	27	34	1	58	58	58
7	27	33	1	76	76	76
7	27	43	1	29	29	29
7	27	39	1	11	11	11
7	27	36	1	31	31	31
7	27	35	1	25	25	25
8	26	30	2	33	33	40
8	26	26	2	5	5	38
8	26	16	9	12	15	38
8	26	13	7	8	20	46
8	26	12	17	11	19	27
8	26	11	18	13	19	37
8	26	10	26	18	28	36
8	26	9	42	11	16	27
8	26	8	34	10	15	24
8	26	7	80	11	16	25
8	26	6	122	8	13	21
8	26	5	193	8	12	20
8	26	4	401	7	11	16
8	26	3	517	5	8	13
8	26	2	1284	4	6	10
8	26	18	5	14	32	34
8	26	23	1	35	35	35
8	26	19	4	12	27	68
8	26	22	3	7	62	73
8	26	17	5	16	22	23
8	26	14	8	8	16	28
8	26	21	3	32	38	59
8	26	25	1	39	39	39
8	26	29	1	60	60	60
8	26	15	4	21	33	70
8	26	34	1	10	10	10
8	26	24	2	15	15	60
8	26	20	3	7	12	22
8	26	37	1	12	12	12
8	26	35	3	13	25	34
8	26	88	1	25	25	25
9	27	22	2	7	7	19
9	27	16	6	13	20	39
9	27	14	7	13	16	24
9	27	12	10	18	21	38
9	27	11	15	10	17	25
9	27	9	41	11	20	29
9	27	7	65	10	16	21
9	27	6	104	8	11	19
9	27	5	168	8	11	16
9	27	4	288	7	10	16
9	27	3	399	5	8	12
9	27	2	1032	4	6	10
9	27	28	1	40	40	40
9	27	10	19	8	17	23
9	27	8	41	13	18	28
9	27	41	1	9	9	9
9	27	26	3	8	21	22
9	27	24	2	12	12	54
9	27	15	5	12	14	20
9	27	13	13	12	17	24
9	27	40	1	14	14	14
9	27	19	2	4	4	32
9	27	17	6	9	18	36
9	27	31	1	10	10	10
9	27	20	3	22	39	51
9	27	34	1	8	8	8
9	27	30	1	19	19	19
9	27	18	1	34	34	34
9	27	21	3	9	30	56
9	27	27	1	43	43	43
10	36	25	2	18	18	27
10	36	15	5	25	29	32
10	36	14	9	18	24	36
10	36	9	30	11	15	19
10	36	6	81	7	12	18
10	36	5	105	8	11	15
10	36	4	185	6	9	13
10	36	3	268	5	7	11
10	36	2	770	3	5	7
10	36	23	2	15	15	21
10	36	22	3	14	25	70
10	36	20	3	8	8	32
10	36	18	4	4	8	32
10	36	12	8	9	16	29
10	36	8	30	11	16	24
10	36	13	10	9	11	26
10	36	10	22	10	12	26
10	36	7	49	8	11	17
10	36	162	1	25	25	25
10	36	56	1	27	27	27
10	36	11	11	7	19	22
10	36	28	2	7	7	70
10	36	19	2	12	12	40
10	36	17	2	6	6	11
10	36	21	1	20	20	20
10	36	24	2	10	10	13
10	36	31	1	9	9	9
10	36	33	1	16	16	16
10	36	46	2	38	38	57
10	36	16	4	13	18	45
10	36	32	1	67	67	67
10	36	30	1	8	8	8
10	36	42	1	59	59	59
10	36	27	1	8	8	8
11	38	38	1	5	5	5
11	38	11	12	6	12	22
11	38	8	17	9	12	18
11	38	7	30	9	12	18
11	38	5	86	7	9	12
11	38	4	134	6	8	11
11	38	3	226	5	6	10
11	38	2	759	3	4	7
11	38	9	17	12	14	21
11	38	6	58	8	10	17
11	38	40	1	9	9	9
11	38	14	4	6	10	26
11	38	13	6	17	17	37
11	38	12	9	8	17	18
11	38	10	10	9	19	30
11	38	19	6	9	10	62
11	38	22	2	73	73	74
11	38	18	2	14	14	65
11	38	21	3	12	19	82
11	38	20	2	11	11	42
11	38	16	4	4	14	23
