depth	imgcount	area	nbr	greylimit1	greylimit2	greylimit3
3	13	52	1	11	11	11
3	13	11	9	9	11	11
3	13	8	8	9	10	15
3	13	6	27	7	9	14
3	13	5	41	6	8	12
3	13	4	56	5	7	10
3	13	3	87	4	6	9
3	13	2	569	3	3	4
3	13	16	3	9	13	24
3	13	10	7	10	16	30
3	13	9	8	4	9	26
3	13	7	7	5	10	11
3	13	18	2	10	10	26
3	13	15	4	8	14	36
3	13	12	6	13	13	16
3	13	21	3	4	21	46
3	13	13	3	9	23	26
3	13	36	1	25	25	25
3	13	14	2	7	7	16
3	13	22	1	24	24	24
3	13	31	1	39	39	39
3	13	30	1	18	18	18
3	13	24	1	20	20	20
3	13	23	1	34	34	34
3	13	17	1	22	22	22
4	65	17	12	12	18	38
4	65	11	34	9	15	22
4	65	9	56	8	12	16
4	65	8	43	9	11	17
4	65	7	90	7	11	18
4	65	6	121	7	11	16
4	65	5	163	6	9	13
4	65	4	236	6	8	12
4	65	3	415	4	6	9
4	65	2	2122	3	3	5
4	65	16	9	8	18	24
4	65	15	16	13	17	22
4	65	13	16	6	18	23
4	65	10	38	8	12	16
4	65	45	1	25	25	25
4	65	18	9	13	14	19
4	65	33	2	26	26	51
4	65	21	5	6	12	14
4	65	14	15	7	18	29
4	65	7646	1	57	57	57
4	65	29	1	11	11	11
4	65	3992	1	4	4	4
4	65	20	7	4	17	23
4	65	12	27	8	14	19
4	65	105	1	3	3	3
4	65	48	1	4	4	4
4	65	26	3	3	6	9
4	65	39	1	8	8	8
4	65	22	5	18	24	29
4	65	23	2	21	21	23
4	65	34	1	67	67	67
4	65	62	1	53	53	53
4	65	28	1	19	19	19
4	65	46	1	22	22	22
4	65	40	3	29	39	41
4	65	25	3	16	17	17
4	65	49	1	45	45	45
4	65	19	9	12	13	35
4	65	74	1	20	20	20
4	65	81	1	17	17	17
4	65	88	1	15	15	15
4	65	24	5	18	20	26
4	65	52	1	34	34	34
4	65	43	1	26	26	26
4	65	61	1	4	4	4
4	65	69	2	4	4	38
4	65	139	1	6	6	6
4	65	98	1	19	19	19
4	65	44	1	20	20	20
4	65	96	1	27	27	27
4	65	37	1	4	4	4
4	65	36	3	4	4	20
4	65	27	1	36	36	36
4	65	51	1	10	10	10
4	65	35	1	10	10	10
4	65	162	1	31	31	31
5	29	22	5	14	26	34
5	29	10	13	11	16	17
5	29	9	19	6	10	21
5	29	8	24	6	12	19
5	29	7	29	6	9	12
5	29	6	62	7	10	14
5	29	5	77	6	8	12
5	29	4	121	5	7	11
5	29	3	190	4	6	10
5	29	2	759	3	4	5
5	29	127	1	31	31	31
5	29	36	1	14	14	14
5	29	14	10	9	10	12
5	29	12	11	8	15	22
5	29	11	9	8	13	26
5	29	51	1	82	82	82
5	29	47	1	6	6	6
5	29	43	1	7	7	7
5	29	119	1	18	18	18
5	29	31	1	51	51	51
