depth	imgcount	area	nbr	greylimit1	greylimit2	greylimit3
3	5	22	1	58	58	58
3	5	4	26	6	8	12
3	5	3	45	5	7	11
3	5	2	137	3	4	7
3	5	46	1	6	6	6
3	5	34	1	4	4	4
3	5	17	2	6	6	11
3	5	9	4	10	11	17
3	5	8	4	10	17	30
3	5	7	2	3	3	27
3	5	6	6	7	7	8
3	5	5	14	8	8	13
3	5	27	1	22	22	22
3	5	18	1	25	25	25
3	5	16	1	55	55	55
3	5	10	2	19	19	71
3	5	60	1	66	66	66
3	5	11	1	52	52	52
4	21	18	1	14	14	14
4	21	11	4	11	17	34
4	21	9	10	6	9	15
4	21	8	23	6	9	14
4	21	7	29	6	10	13
4	21	6	47	7	10	15
4	21	5	74	6	10	13
4	21	4	124	5	8	14
4	21	3	186	5	8	11
4	21	2	451	3	5	8
4	21	72	1	86	86	86
4	21	10	6	12	13	25
4	21	46	1	4	4	4
4	21	16	2	10	10	38
4	21	13	3	20	21	21
4	21	33	1	56	56	56
4	21	17	2	9	9	50
4	21	30	1	37	37	37
4	21	15	4	5	6	20
4	21	55	1	47	47	47
4	21	19	1	6	6	6
4	21	92	1	14	14	14
4	21	27	1	66	66	66
4	21	36	1	20	20	20
4	21	14	1	17	17	17
4	21	25	1	34	34	34
4	21	12	1	13	13	13
4	21	54	1	6	6	6
5	18	314	1	95	95	95
5	18	9	6	7	7	8
5	18	8	18	5	7	10
5	18	7	31	6	8	8
5	18	6	34	5	7	10
5	18	5	48	6	8	12
5	18	4	89	5	7	10
5	18	3	132	4	7	10
5	18	2	359	3	4	6
5	18	278	1	8	8	8
5	18	12	2	9	9	12
5	18	11	7	8	9	13
5	18	10	8	5	6	13
5	18	18	1	12	12	12
5	18	14	2	7	7	10
5	18	15	2	19	19	22
5	18	138	1	6	6	6
5	18	218	1	6	6	6
6	21	504	1	7	7	7
6	21	13	9	7	8	14
6	21	10	3	7	9	11
6	21	7	16	6	7	12
6	21	6	29	7	10	14
6	21	4	58	5	8	11
6	21	3	113	4	6	9
6	21	2	419	3	4	6
6	21	18	2	8	8	13
6	21	11	5	9	13	13
6	21	5	20	6	7	13
6	21	19	1	7	7	7
6	21	16	2	23	23	33
6	21	14	1	5	5	5
6	21	9	10	7	8	13
6	21	8	11	6	9	14
6	21	12	4	6	10	15
6	21	33	1	36	36	36
6	21	17	1	41	41	41
6	21	22	1	16	16	16
6	21	40	1	8	8	8
7	47	13	10	10	14	32
7	47	7	27	6	11	14
7	47	6	47	5	9	15
7	47	5	72	6	9	11
7	47	4	161	5	7	10
7	47	3	231	4	6	9
7	47	2	1009	3	4	6
7	47	21	2	33	33	33
7	47	20	3	8	22	47
7	47	19	1	15	15	15
7	47	8	26	8	10	16
7	47	10	16	5	8	18
7	47	9	15	9	14	22
7	47	12	8	8	11	32
7	47	15	6	17	18	21
7	47	11	11	12	16	30
7	47	18	2	7	7	26
7	47	43	1	39	39	39
7	47	29	2	9	9	39
7	47	16	3	8	9	15
7	47	22	2	20	20	30
7	47	25	1	42	42	42
7	47	14	3	6	8	10
7	47	30	3	22	26	36
7	47	33	1	26	26	26
7	47	26	1	20	20	20
7	47	28	2	11	11	20
7	47	36	2	20	20	25
7	47	41	1	31	31	31
8	47	28	1	15	15	15
8	47	15	5	7	10	14
8	47	6	49	6	9	16
8	47	5	83	5	8	12
8	47	4	123	5	8	11
8	47	3	195	5	6	9
8	47	2	930	3	4	5
8	47	35	1	14	14	14
8	47	24	1	4	4	4
8	47	10	11	7	13	16
8	47	9	17	11	14	22
8	47	7	41	5	8	13
8	47	31	2	5	5	11
8	47	20	4	7	9	33
8	47	12	9	11	16	18
8	47	36	1	12	12	12
8	47	18	10	7	9	19
8	47	11	9	7	13	18
8	47	33	1	13	13	13
8	47	14	4	9	12	27
8	47	8	25	9	12	17
8	47	29	1	8	8	8
8	47	17	1	17	17	17
8	47	23	2	15	15	18
8	47	13	3	28	29	30
8	47	21	2	18	18	28
8	47	37	1	35	35	35
8	47	38	1	40	40	40
8	47	25	1	22	22	22
8	47	16	3	11	20	24
8	47	119	1	69	69	69
8	47	140	1	78	78	78
8	47	57	1	5	5	5
8	47	43	1	37	37	37
8	47	32	1	23	23	23
8	47	26	1	10	10	10
8	47	19	1	11	11	11
9	29	25	1	19	19	19
9	29	12	6	6	16	22
9	29	11	8	8	9	18
9	29	7	28	7	8	12
9	29	6	31	7	10	18
9	29	5	48	6	7	10
9	29	4	83	6	8	10
9	29	3	130	4	6	10
9	29	2	795	3	3	5
9	29	17	2	15	15	24
9	29	8	12	5	9	17
9	29	16	6	9	9	20
9	29	20	3	6	25	29
9	29	14	2	16	16	16
9	29	9	12	8	10	17
9	29	23	2	22	22	23
9	29	18	2	6	6	16
9	29	19	1	26	26	26
9	29	10	5	7	11	20
9	29	13	7	6	15	18
9	29	59	1	46	46	46
9	29	22	4	3	6	15
9	29	32	1	5	5	5
9	29	30	5	14	15	19
9	29	141	1	6	6	6
9	29	27	1	14	14	14
9	29	41	1	34	34	34
9	29	43	1	47	47	47
9	29	38	1	6	6	6
9	29	15	3	11	14	31
9	29	103	1	28	28	28
9	29	129	1	8	8	8
9	29	35	1	3	3	3
9	29	31	1	31	31	31
9	29	36	1	50	50	50
9	29	34	1	20	20	20
9	29	29	1	6	6	6
10	40	20	3	17	40	42
10	40	10	9	12	14	20
10	40	8	28	12	17	24
10	40	5	72	6	9	14
10	40	4	130	5	8	13
10	40	3	221	4	6	9
10	40	2	1104	3	3	5
10	40	7	40	7	10	15
10	40	26	3	5	6	9
10	40	6	38	7	10	16
10	40	13	9	12	16	20
10	40	12	9	10	14	17
10	40	27	4	12	18	62
10	40	9	18	8	12	19
10	40	11	16	10	21	34
10	40	14	9	17	21	24
10	40	18	6	8	8	10
10	40	15	5	15	30	38
10	40	25	2	9	9	21
10	40	17	4	20	23	44
10	40	29	2	25	25	39
10	40	16	5	11	20	26
10	40	21	2	11	11	18
10	40	79	1	56	56	56
10	40	22	2	13	13	52
10	40	28	1	22	22	22
10	40	19	2	10	10	10
10	40	24	2	9	9	17
11	62	27	2	20	20	20
11	62	16	11	9	11	20
11	62	14	13	14	17	20
11	62	9	33	7	10	15
11	62	4	182	5	8	11
11	62	3	331	4	6	9
11	62	2	2198	3	3	4
11	62	31	3	17	18	40
11	62	11	17	9	16	17
11	62	10	19	8	14	22
11	62	8	29	8	12	16
11	62	34	1	14	14	14
11	62	12	18	9	14	21
11	62	6	71	7	10	15
11	62	5	103	7	9	13
11	62	33	2	6	6	18
11	62	15	13	9	14	22
11	62	13	14	11	13	24
11	62	7	58	8	11	15
11	62	28	3	8	16	19
11	62	17	8	15	18	30
11	62	18	5	10	17	20
11	62	26	4	7	8	44
11	62	21	3	7	7	15
11	62	20	5	16	17	20
11	62	24	2	11	11	17
11	62	35	1	22	22	22
11	62	48	1	53	53	53
11	62	41	2	8	8	19
11	62	45	1	60	60	60
11	62	32	1	22	22	22
11	62	50	2	62	62	63
11	62	23	2	8	8	21
11	62	29	2	9	9	13
11	62	43	1	64	64	64
11	62	38	1	9	9	9
11	62	53	2	56	56	59
11	62	55	1	64	64	64
11	62	59	1	49	49	49
11	62	62	1	25	25	25
11	62	22	2	11	11	20
11	62	40	1	12	12	12
11	62	44	1	7	7	7
11	62	25	4	7	14	26
11	62	37	1	40	40	40
11	62	19	1	27	27	27
12	29	25	1	18	18	18
12	29	21	4	4	12	26
12	29	10	14	11	15	25
12	29	9	15	7	13	21
12	29	7	28	8	11	17
12	29	6	30	8	11	16
12	29	5	52	6	8	13
12	29	4	84	5	7	11
12	29	3	178	4	6	8
12	29	2	1478	3	3	4
12	29	33	2	5	5	21
12	29	27	3	4	15	16
12	29	8	24	8	10	19
12	29	42	1	43	43	43
12	29	30	2	7	7	19
12	29	13	10	16	20	31
12	29	11	13	7	11	14
12	29	31	1	28	28	28
12	29	19	1	12	12	12
12	29	14	7	13	19	34
12	29	41	1	47	47	47
12	29	22	2	19	19	36
12	29	16	5	6	6	11
12	29	15	5	10	15	19
12	29	58	1	38	38	38
12	29	36	1	56	56	56
12	29	12	6	13	24	33
12	29	50	1	33	33	33
12	29	18	4	4	6	24
12	29	57	1	9	9	9
12	29	26	2	21	21	22
12	29	17	2	4	4	34
12	29	24	1	16	16	16
13	20	21	3	15	17	24
13	20	13	7	7	13	20
13	20	11	4	8	18	28
13	20	10	8	15	17	22
13	20	8	12	7	11	16
13	20	7	15	10	13	17
13	20	4	50	5	8	11
13	20	3	111	4	6	7
13	20	2	746	3	3	4
13	20	28	1	23	23	23
13	20	14	6	10	11	26
13	20	12	3	4	9	41
13	20	5	38	5	9	13
13	20	35	1	21	21	21
13	20	17	2	10	10	15
13	20	9	9	11	15	20
13	20	47	1	36	36	36
13	20	19	2	8	8	16
13	20	15	2	9	9	24
13	20	6	13	8	11	14
13	20	25	1	28	28	28
13	20	16	2	19	19	36
13	20	24	2	21	21	34
13	20	18	1	16	16	16
13	20	23	1	10	10	10
14	32	14	6	9	13	18
14	32	10	13	10	12	16
14	32	8	21	6	11	20
14	32	7	17	5	7	12
14	32	6	27	5	9	12
14	32	5	41	7	9	12
14	32	4	77	6	7	11
14	32	3	180	3	5	8
14	32	2	1434	3	3	4
14	32	15	2	6	6	20
14	32	9	10	8	11	16
14	32	37	1	17	17	17
14	32	12	6	16	17	26
14	32	38	1	47	47	47
14	32	27	1	6	6	6
14	32	13	9	12	14	21
14	32	21	3	14	16	22
14	32	11	6	6	7	11
14	32	25	2	17	17	24
14	32	17	3	8	18	24
14	32	18	4	6	10	43
14	32	20	3	11	14	22
14	32	30	1	36	36	36
14	32	19	2	18	18	35
14	32	26	2	7	7	17
14	32	16	1	16	16	16
14	32	24	1	56	56	56
15	50	36	1	10	10	10
15	50	20	2	9	9	29
15	50	6	53	7	11	14
15	50	5	69	6	8	12
15	50	4	120	5	7	9
15	50	3	286	3	5	7
15	50	2	2495	3	3	4
15	50	24	3	4	14	14
15	50	10	17	8	11	16
