depth	imgcount	area	nbr	greylimit1	greylimit2	greylimit3
3	25	225	1	76	76	76
3	25	89	1	17	17	17
3	25	16	6	10	13	29
3	25	14	9	10	13	16
3	25	9	15	7	13	26
3	25	8	31	6	12	18
3	25	7	29	7	10	14
3	25	6	51	6	10	15
3	25	5	62	6	9	12
3	25	4	135	5	8	11
3	25	3	226	3	5	9
3	25	2	1616	3	3	4
3	25	138	1	92	92	92
3	25	94	1	5	5	5
3	25	68	1	15	15	15
3	25	37	2	8	8	17
3	25	27	2	10	10	22
3	25	13	5	19	37	51
3	25	12	12	6	14	20
3	25	10	6	8	13	19
3	25	42	1	65	65	65
3	25	32	1	77	77	77
3	25	52	1	12	12	12
3	25	38	1	61	61	61
3	25	23	2	35	35	59
3	25	11	7	4	14	21
3	25	67	1	5	5	5
3	25	36	1	41	41	41
3	25	21	3	19	24	25
3	25	17	4	4	14	55
3	25	41	1	44	44	44
3	25	25	2	15	15	19
3	25	29	1	12	12	12
3	25	80	1	7	7	7
3	25	20	2	36	36	48
3	25	19	1	12	12	12
3	25	70	1	85	85	85
3	25	88	1	8	8	8
3	25	15	3	9	11	12
3	25	59	1	65	65	65
3	25	40	1	3	3	3
3	25	153	1	14	14	14
3	25	62	1	68	68	68
3	25	65	1	33	33	33
3	25	165	1	6	6	6
3	25	51	1	84	84	84
3	25	31	1	73	73	73
3	25	55	1	59	59	59
3	25	24	1	11	11	11
4	72	19	6	16	34	41
4	72	13	15	14	16	27
4	72	10	22	7	10	21
4	72	8	57	7	11	18
4	72	7	63	7	12	20
4	72	5	189	6	9	14
4	72	4	295	5	8	12
4	72	3	501	4	6	9
4	72	2	3462	3	3	4
4	72	17	5	8	9	24
4	72	15	11	6	12	42
4	72	9	33	12	14	16
4	72	6	134	6	9	13
4	72	33	2	5	5	13
4	72	28	5	10	11	23
4	72	18	6	8	11	14
4	72	12	12	10	17	19
4	72	11	24	8	11	17
4	72	14	5	10	11	12
4	72	57	1	73	73	73
4	72	40	1	46	46	46
4	72	16	6	5	11	13
4	72	240	1	52	52	52
4	72	404	1	11	11	11
4	72	594	1	6	6	6
4	72	134	1	3	3	3
4	72	131	1	72	72	72
4	72	36	2	62	62	77
4	72	125	1	28	28	28
4	72	30	3	7	18	21
4	72	237	1	14	14	14
4	72	69	1	6	6	6
4	72	224	1	4	4	4
4	72	21	2	3	3	17
4	72	87	1	82	82	82
4	72	22	1	9	9	9
4	72	78	1	26	26	26
4	72	195	1	10	10	10
4	72	32	1	12	12	12
4	72	65	1	4	4	4
4	72	31	1	19	19	19
4	72	27	2	7	7	11
4	72	24	6	11	11	16
4	72	127	1	65	65	65
4	72	53	3	12	14	73
4	72	75	1	43	43	43
4	72	20	3	5	12	25
4	72	110	1	31	31	31
4	72	188	1	10	10	10
4	72	303	1	10	10	10
4	72	23	3	31	33	65
4	72	302	1	6	6	6
4	72	38	1	11	11	11
4	72	26	4	11	13	37
4	72	34	1	9	9	9
4	72	346	1	6	6	6
