depth	imgcount	area	nbr	greylimit1	greylimit2	greylimit3
3	27	17	6	7	8	20
3	27	11	18	10	13	21
3	27	10	22	6	12	31
3	27	9	34	7	11	17
3	27	8	30	8	11	24
3	27	7	35	6	8	11
3	27	5	73	6	8	11
3	27	4	145	5	8	12
3	27	3	294	4	6	9
3	27	2	1536	3	3	5
3	27	18	8	7	8	23
3	27	12	19	6	8	13
3	27	6	61	5	9	16
3	27	16	5	11	11	18
3	27	19	3	5	10	11
3	27	15	5	9	12	13
3	27	14	11	8	11	15
3	27	13	12	8	11	18
3	27	22	2	9	9	43
3	27	21	2	6	6	13
3	27	20	3	10	13	16
3	27	34	1	21	21	21
3	27	24	1	10	10	10
4	66	43	1	9	9	9
4	66	12	26	7	11	17
4	66	11	31	6	10	20
4	66	9	51	7	10	17
4	66	8	76	7	10	19
4	66	7	81	6	9	15
4	66	6	122	6	10	15
4	66	5	193	6	8	13
4	66	4	361	5	8	11
4	66	3	686	4	6	9
4	66	2	3584	3	3	5
4	66	17	6	8	9	11
4	66	10	46	6	8	12
4	66	15	12	6	8	17
4	66	14	11	7	10	12
4	66	16	7	7	10	14
4	66	13	17	7	9	11
4	66	19	4	6	10	37
4	66	38	1	10	10	10
4	66	18	6	6	7	16
4	66	278	1	92	92	92
4	66	203	1	10	10	10
4	66	194	1	5	5	5
4	66	27	2	26	26	27
4	66	49	1	48	48	48
4	66	20	8	10	12	45
4	66	32	1	8	8	8
4	66	30	2	6	6	32
4	66	28	1	38	38	38
4	66	37	1	25	25	25
4	66	21	4	4	38	51
4	66	25	1	19	19	19
4	66	50	1	6	6	6
4	66	23	1	14	14	14
4	66	54	1	9	9	9
4	66	26	1	6	6	6
5	55	14	11	6	9	10
5	55	13	13	7	8	11
5	55	12	21	7	11	19
5	55	10	28	7	11	23
5	55	9	53	7	10	15
5	55	8	47	8	12	16
5	55	7	76	7	9	17
5	55	6	125	6	8	15
5	55	5	142	7	8	12
5	55	4	343	6	9	12
5	55	3	589	4	6	9
5	55	2	2900	3	3	5
5	55	18	4	9	10	22
5	55	11	25	8	11	14
5	55	26	1	18	18	18
5	55	16	14	8	9	21
5	55	39	1	24	24	24
5	55	15	11	8	9	12
5	55	21	4	4	9	18
5	55	17	5	6	13	15
5	55	20	3	5	5	14
5	55	19	5	7	17	25
5	55	22	2	6	6	16
5	55	28	1	8	8	8
5	55	52	1	9	9	9
5	55	23	1	7	7	7
5	55	71	1	7	7	7
5	55	24	2	5	5	46
5	55	75	1	44	44	44
5	55	30	1	9	9	9
5	55	48	1	19	19	19
5	55	27	1	10	10	10
6	42	15	7	8	14	22
6	42	13	9	9	10	12
6	42	7	60	6	9	14
6	42	6	80	7	10	16
6	42	5	113	6	9	13
6	42	4	214	5	8	12
6	42	3	388	4	6	9
6	42	2	1876	3	4	5
6	42	18	2	11	11	38
6	42	12	18	5	8	14
6	42	11	14	7	11	21
6	42	10	21	6	8	18
6	42	9	42	6	12	17
6	42	37	1	30	30	30
6	42	26	2	8	8	10
6	42	16	11	9	15	25
6	42	14	5	12	12	46
6	42	8	35	6	10	15
6	42	70	2	5	5	11
6	42	31	1	29	29	29
6	42	29	1	17	17	17
6	42	21	3	7	10	17
6	42	32	1	25	25	25
6	42	17	3	8	8	9
6	42	22	1	12	12	12
6	42	20	3	7	10	11
6	42	48	1	4	4	4
6	42	36	1	6	6	6
6	42	28	1	19	19	19
6	42	72	1	12	12	12
7	35	16	7	11	13	29
7	35	14	11	7	11	17
7	35	13	5	9	9	13
7	35	10	20	7	10	23
7	35	9	26	7	13	18
7	35	8	28	6	12	17
7	35	7	54	8	11	18
7	35	5	93	6	8	14
7	35	4	198	6	9	13
7	35	3	334	4	6	9
7	35	2	1691	3	3	5
7	35	19	4	6	8	46
7	35	18	5	13	14	14
7	35	12	22	7	10	18
7	35	6	75	8	11	16
7	35	11	17	7	12	17
7	35	30	1	11	11	11
7	35	17	3	17	24	50
7	35	33	1	9	9	9
7	35	57	1	32	32	32
7	35	73	1	16	16	16
7	35	26	3	9	11	25
7	35	23	1	15	15	15
7	35	15	8	11	15	20
7	35	44	1	39	39	39
7	35	34	2	5	5	24
7	35	31	1	11	11	11
7	35	60	1	87	87	87
7	35	37	1	4	4	4
7	35	20	2	7	7	10
7	35	27	1	13	13	13
7	35	22	1	16	16	16
7	35	32	1	34	34	34
8	37	15	6	7	9	10
8	37	14	7	6	8	9
8	37	13	12	9	11	15
8	37	11	17	7	10	14
8	37	10	21	7	9	15
8	37	8	28	6	8	18
8	37	7	56	7	10	17
8	37	6	76	7	10	17
8	37	5	103	5	8	13
8	37	4	191	5	8	12
8	37	3	396	4	6	9
8	37	2	1658	3	4	5
8	37	28	1	17	17	17
8	37	21	4	7	10	25
8	37	19	2	13	13	13
8	37	9	28	8	11	15
8	37	12	5	10	16	17
8	37	46	1	17	17	17
8	37	27	1	25	25	25
8	37	18	5	11	13	13
8	37	20	4	8	8	10
8	37	16	6	10	15	41
8	37	43	1	27	27	27
8	37	26	1	8	8	8
8	37	22	2	14	14	18
8	37	17	4	7	10	43
8	37	31	1	8	8	8
8	37	38	2	25	25	26
9	42	16	5	10	13	17
9	42	14	4	9	13	38
9	42	11	18	6	7	18
9	42	8	50	6	9	13
9	42	7	47	6	12	17
9	42	6	77	8	11	17
9	42	4	227	6	8	12
9	42	3	406	4	6	9
9	42	2	2050	3	3	5
9	42	5	119	6	9	15
9	42	9	26	6	9	18
9	42	92	1	8	8	8
9	42	10	20	7	11	20
9	42	12	17	10	14	25
9	42	35	2	12	12	15
9	42	18	4	9	16	20
9	42	39	1	13	13	13
9	42	13	10	8	13	17
9	42	19	6	15	22	25
9	42	21	3	9	10	18
9	42	22	4	9	9	16
9	42	15	4	3	5	48
9	42	27	1	14	14	14
9	42	29	1	14	14	14
9	42	36	1	8	8	8
9	42	32	1	16	16	16
9	42	28	1	42	42	42
9	42	98	1	52	52	52
9	42	102	1	7	7	7
9	42	46	1	15	15	15
9	42	17	2	16	16	29
9	42	20	1	19	19	19
9	42	45	1	22	22	22
10	35	12	9	8	9	17
10	35	6	95	7	10	15
10	35	5	108	6	9	13
10	35	4	205	5	7	10
10	35	3	350	4	6	8
10	35	2	1752	3	3	5
10	35	36	1	10	10	10
10	35	33	1	14	14	14
10	35	13	9	6	19	19
10	35	9	37	8	12	15
10	35	7	44	6	9	17
10	35	20	3	12	12	22
10	35	16	3	11	22	43
10	35	8	31	9	12	18
10	35	15	9	17	23	28
10	35	10	12	11	13	29
10	35	11	21	8	12	21
10	35	17	3	15	16	25
10	35	14	6	15	18	25
10	35	24	1	16	16	16
10	35	37	1	35	35	35
10	35	68	1	16	16	16
10	35	19	5	7	10	17
10	35	29	2	7	7	7
10	35	31	1	8	8	8
