orig_id	objid	name	taxo_hierarchy	classif_qual	depth_including_offset	psampleid	%area	angle	area	area_exc	areai	bx	by	cdexc	centroids	circ.	circex	compentropy	compm1	compm2	compm3	compmean	compslope	convarea	convarea_area	convperim	convperim_perim	cv	elongation	esd	fcons	feret	feretareaexc	fractal	height	histcum1	histcum2	histcum3	intden	kurt	kurt_mean	major	max	mean	meanpos	median	median_mean	median_mean_range	min	minor	mode	nb1	nb1_area	nb1_range	nb2	nb2_area	nb2_range	nb3	nb3_area	nb3_range	perim.	perimareaexc	perimferet	perimmajor	range	skelarea	skeleton_area	skew	skew_mean	slope	sr	stddev	symetrieh	symetrieh_area	symetriehc	symetriev	symetriev_area	symetrievc	tag	thickr	width	x	xm	xmg5	xstart	y	ym	ymg5	ystart
bats361_ctd6_632	146222812	badfocus<artefact	not-living>artefact>badfocus	V	235.2	33984	99.21	153.3	127.0	1.0	117.0	16.0	13.0	0.0	0.0	0.512	0.00400713348672167	0.0	0.0	0.0	0.0	0.0	0.0	146.0	1.1496062992126	52.0	0.928571428571429	1.61622691825932	1.36363636363636	12.716187407449	0.0	16.6	17.0	0.842	13.0	244.0	247.0	250.0	31431.0	-0.789	-0.00404056729564831	14.6	254.0	247.49	-0.685985247629082	248.0	0.509999999999991	0.0318749999999994	238.0	11.0	252.0	1.0	0.0078740157480315	0.0625	1.0	0.0078740157480315	0.0625	1.0	0.0078740157480315	0.0625	55.84	56.0	3.29411764705882	3.73333333333333	16.0	26.0	0.204724409448819	-0.575	-0.00404056729564831	0.031	25.0	4.402	1.988	0.015748031496063	2.0	1.988	0.015748031496063	2.0	1.0	1.561	15.0	23.41	23.42	0.0	21.0	19.53	19.53	0.0	13.0
bats361_ctd6_841	146222714	badfocus<artefact	not-living>artefact>badfocus	V	644.3000000000001	33984	100.0	31.0	130.0	0.0	120.0	18.0	14.0		0.0	0.606	0.0	0.0	0.0	0.0	0.0	0.0	0.0	154.0	1.18461538461538	58.0	1.11538461538462	1.62410166876446	1.7	12.8655019651614	0.0	18.7		0.844	14.0	242.0	245.0	249.0	32018.0	-0.599	-0.00406025417191116	16.7	253.0	246.29	-0.594331266607618	247.0	0.710000000000008	0.0394444444444449	235.0	9.9	245.0	1.0	0.00769230769230769	0.0555555555555556	1.0	0.00769230769230769	0.0555555555555556	1.0	0.00769230769230769	0.0555555555555556	51.94		2.73684210526316	3.05882352941176	18.0	18.0	0.138461538461538	-0.335	0.0	0.028	22.2222222222222	4.415	2.642	0.0230769230769231	2.0	2.519	0.0230769230769231	2.0	1.0	1.65	18.0	26.99	26.98	0.0	29.0	20.71	20.7	0.0	14.0
bats361_ctd6_654	146207483	badfocus<artefact	not-living>artefact>badfocus	V	260.4	33984	94.12	107.5	102.0	6.0	86.0	14.0	14.0	0.0	0.0	0.433	0.0258567296591753	0.0	0.0	0.0	0.0	0.0	0.0	138.0	1.35294117647059	50.0	0.925925925925926	0.798594473726242	1.4	11.396070970426	0.0	15.6	6.53197264742181	0.842	14.0	247.0	249.0	251.0	25545.0	-0.708	-0.00399297236863121	13.6	255.0	250.44	-0.838235294117648	251.0	0.560000000000002	0.0560000000000002	245.0	9.6	252.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.00980392156862745	0.1	54.43	22.0454076850486	3.375	3.85714285714286	10.0	40.0	0.392156862745098	-0.298	0.0	0.033	20.0	2.258	2.176	0.0196078431372549	2.0	2.176	0.0196078431372549	2.0	1.0	1.892	13.0	19.37	19.38	0.0	18.0	20.67	20.67	0.0	14.0
bats361_ctd6_83	146206485	detritus	not-living>detritus	V	42.900000000000006	33984	100.0	124.3	100.0	0.0	96.0	13.0	17.0		0.0	0.541	0.0	0.0	0.0	0.0	0.0	0.0	0.0	118.0	1.18	52.0	1.08333333333333	14.5329034016077	2.57142857142857	11.2837916709551	0.0	18.9		0.819	16.0	197.0	227.0	245.0	22019.0	0.207	0.0	17.5	253.0	220.19	-0.334148080252572	230.0	9.81	0.0748854961832061	122.0	7.3	248.0	1.0	0.01	0.00763358778625954	2.0	0.02	0.0152671755725191	1.0	0.01	0.00763358778625954	48.18		2.52631578947368	2.66666666666667	131.0	17.0	0.17	-1.033	-0.00454153231300241	0.013	24.4274809160305	32.227	2.74	0.03	3.0	2.76	0.03	3.0	1.0	1.583	12.0	18.83	18.77	0.0	13.0	24.6	24.56	0.0	17.0
bats361_ctd6_106	146212298	detritus	not-living>detritus	V	50.0	33984	100.0	70.1	99.0	0.0	95.0	11.0	15.0		0.0	0.715	0.0	0.0	0.0	0.0	0.0	0.0	0.0	109.0	1.1010101010101	46.0	1.0952380952381	43.5131111874499	1.55555555555556	11.2272309555287	0.0	14.9		0.787	14.0	118.0	202.0	245.0	17291.0	-0.79	-0.00572540936676972	14.3	253.0	174.66	-0.44852856979274	203.0	28.34	0.11201581027668	0.0	8.8	248.0	0.0	0.0	0.0	1.0	0.0101010101010101	0.00395256916996047	1.0	0.0101010101010101	0.00395256916996047	41.7		2.8	3.0	253.0	12.0	0.121212121212121	-0.727	-0.00572540936676972	0.011	30.0395256916996	76.167	2.096	0.0202020202020202	2.0	2.025	0.0202020202020202	1.0	1.0	1.685	11.0	16.73	16.82	0.0	17.0	22.44	22.31	0.0	15.0
bats361_ctd6_127	146223610	fiber<detritus	not-living>detritus>fiber	V	55.400000000000006	33984	99.12	87.5	113.0	1.0	92.0	6.0	39.0	0.0	0.0	0.13	0.00113980685844528	0.0	0.0	0.0	0.0	0.0	0.0	190.0	1.68141592920354	95.0	0.904761904761905	0.798562587342783	14.0	11.9948350782774	0.0	44.2	44.0	0.973	44.0	248.0	249.0	251.0	28301.0	-0.524	-0.00399281293671391	42.2	254.0	250.45	-0.651376146788994	251.0	0.550000000000011	0.0611111111111124	245.0	3.4	252.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	104.57	105.0	2.38636363636364	2.5	9.0	46.0	0.407079646017699	-0.496	0.0	0.037	22.2222222222222	2.053	12.164	0.106194690265487	9.0	12.119	0.106194690265487	9.0	1.0	1.6	6.0	9.14	9.14	0.0	9.0	61.68	61.68	0.0	39.0
bats361_ctd6_156	146207099	detritus	not-living>detritus	V	59.7	33984	100.0	37.6	95.0	0.0	90.0	13.0	15.0		0.0	0.479	0.0	0.0	0.0	0.0	0.0	0.0	0.0	120.0	1.26315789473684	52.0	1.04	19.2246074975969	2.42857142857143	10.9980796846468	0.0	17.8		0.822	14.0	204.0	236.0	246.0	20755.0	2.534	0.0137318624982835	16.5	253.0	218.47	-0.235747934730662	237.0	18.53	0.102375690607735	72.0	7.3	252.0	0.0	0.0	0.0	2.0	0.0210526315789474	0.0110497237569061	2.0	0.0210526315789474	0.0110497237569061	49.94		2.77777777777778	2.94117647058824	181.0	18.0	0.189473684210526	-1.721	-0.00915457499885568	0.012	23.2044198895028	41.556	2.574	0.0315789473684211	3.0	2.542	0.0315789473684211	3.0	1.0	1.739	14.0	19.82	19.77	0.0	23.0	21.43	21.43	0.0	15.0
bats361_ctd6_304	146206445	detritus	not-living>detritus	V	87.3	33984	100.0	67.1	88.0	0.0	85.0	11.0	13.0		0.0	0.824	0.0	0.0	0.0	0.0	0.0	0.0	0.0	94.0	1.06818181818182	42.0	1.13513513513514	21.8712029161604	1.625	10.5851348568025	0.0	13.6		0.761	13.0	174.0	218.0	244.0	18106.0	-0.233	0.0	13.3	253.0	205.75	-0.343012704174229	225.0	19.25	0.104054054054054	68.0	8.4	250.0	1.0	0.0113636363636364	0.00540540540540541	1.0	0.0113636363636364	0.00540540540540541	1.0	0.0113636363636364	0.00540540540540541	36.63		2.64285714285714	2.84615384615385	185.0	10.0	0.113636363636364	-0.838	-0.00486026731470231	0.011	24.3243243243243	44.852	1.881	0.0227272727272727	2.0	1.972	0.0227272727272727	2.0	1.0	1.36	10.0	15.58	15.58	0.0	13.0	18.83	18.92	0.0	13.0
bats361_ctd6_55	146212478	fiber<detritus	not-living>detritus>fiber	V	32.1	33984	100.0	10.0	91.0	0.0	89.0	24.0	10.0		0.0	0.31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	129.0	1.41758241758242	60.0	0.983606557377049	7.18451525652946	3.5	10.7640512155461	0.0	23.8		0.845	9.0	229.0	241.0	247.0	21532.0	2.394	0.00845237089003465	20.5	253.0	236.62	-0.265822784810127	242.0	5.38	0.0689743589743589	175.0	5.7	248.0	0.0	0.0	0.0	1.0	0.010989010989011	0.0128205128205128	2.0	0.021978021978022	0.0256410256410256	60.77		2.54166666666667	2.9047619047619	78.0	26.0	0.285714285714286	-1.668	-0.00845237089003465	0.014	21.7948717948718	16.584	4.335	0.043956043956044	3.0	4.214	0.043956043956044	2.0	1.0	1.674	23.0	34.58	34.67	0.0	46.0	14.62	14.57	0.0	10.0
bats361_ctd6_360	146223880	detritus	not-living>detritus	V	94.0	33984	100.0	50.2	99.0	0.0	93.0	14.0	12.0		0.0	0.688	0.0	0.0	0.0	0.0	0.0	0.0	0.0	113.0	1.14141414141414	48.0	1.11627906976744	18.9079505626268	1.55555555555556	11.2272309555287	0.0	15.8		0.793	13.0	201.0	232.0	246.0	21467.0	1.927	0.00922339051835455	14.3	253.0	216.84	-0.25139043381535	233.0	16.16	0.0897777777777778	73.0	8.8	252.0	1.0	0.0101010101010101	0.00555555555555556	1.0	0.0101010101010101	0.00555555555555556	1.0	0.0101010101010101	0.00555555555555556	42.53		2.6875	3.07142857142857	180.0	9.0	0.0909090909090909	-1.546	-0.00922339051835455	0.013	22.7777777777778	41.34	2.283	0.0202020202020202	2.0	2.303	0.0202020202020202	2.0	1.0	1.515	13.0	19.89	19.96	0.0	24.0	18.67	18.61	0.0	12.0
