depth	imgcount	area	nbr	greylimit1	greylimit2	greylimit3
3	17	46	1	14	14	14
3	17	16	2	5	5	11
3	17	10	12	10	18	29
3	17	9	12	6	8	28
3	17	7	34	8	11	16
3	17	6	42	7	10	14
3	17	5	64	6	8	12
3	17	4	72	6	8	12
3	17	3	118	4	6	9
3	17	2	368	3	4	7
3	17	55	1	11	11	11
3	17	25	2	23	23	32
3	17	11	10	9	11	18
3	17	8	16	8	11	14
3	17	61	1	8	8	8
3	17	30	1	23	23	23
3	17	15	2	23	23	32
3	17	12	5	7	13	18
3	17	70	1	6	6	6
3	17	14	4	10	12	39
3	17	27	1	4	4	4
3	17	19	1	9	9	9
3	17	13	1	13	13	13
4	105	13	17	10	17	21
4	105	11	46	7	11	16
4	105	10	51	10	12	20
4	105	9	73	8	15	21
4	105	8	110	9	13	20
4	105	6	205	8	12	19
4	105	5	248	6	9	16
4	105	4	419	5	8	12
4	105	3	664	5	6	10
4	105	2	2147	3	4	6
4	105	124	1	10	10	10
4	105	98	1	7	7	7
4	105	17	19	11	17	25
4	105	12	31	11	14	19
4	105	352	1	89	89	89
4	105	348	1	93	93	93
4	105	20	3	7	25	32
4	105	105	1	5	5	5
4	105	100	1	5	5	5
4	105	297	3	14	16	82
4	105	277	1	12	12	12
4	105	30	1	4	4	4
4	105	16	20	7	15	20
4	105	15	18	12	14	20
4	105	7	130	8	13	18
4	105	296	1	14	14	14
4	105	18	18	11	12	23
4	105	151	1	9	9	9
4	105	142	1	9	9	9
4	105	14	14	8	11	25
4	105	345	1	79	79	79
4	105	19	10	8	9	17
4	105	289	2	68	68	90
4	105	272	1	69	69	69
4	105	325	1	69	69	69
4	105	319	1	82	82	82
4	105	28	3	9	13	22
4	105	239	1	17	17	17
4	105	33	2	6	6	7
4	105	23	6	10	10	48
4	105	24	5	6	13	22
4	105	21	4	13	14	56
4	105	26	3	14	15	39
4	105	31	2	17	17	36
4	105	29	3	4	10	29
4	105	38	3	5	51	55
4	105	35	2	19	19	34
4	105	25	1	10	10	10
4	105	48	1	59	59	59
4	105	56	1	68	68	68
4	105	101	1	4	4	4
4	105	108	1	4	4	4
4	105	22	3	13	20	54
4	105	424	1	4	4	4
4	105	143	1	4	4	4
4	105	54	1	4	4	4
4	105	91	1	4	4	4
4	105	204	1	5	5	5
4	105	240	1	4	4	4
4	105	53	1	7	7	7
4	105	283	1	7	7	7
4	105	127	1	20	20	20
4	105	190	1	9	9	9
4	105	154	1	9	9	9
4	105	311	1	53	53	53
4	105	466	1	90	90	90
4	105	423	1	84	84	84
4	105	252	1	77	77	77
4	105	131	1	9	9	9
4	105	290	1	110	110	110
4	105	40	1	47	47	47
4	105	47	1	42	42	42
4	105	32	2	20	20	36
4	105	27	1	11	11	11
4	105	46	1	8	8	8
4	105	44	1	37	37	37
4	105	43	1	19	19	19
4	105	68	1	44	44	44
5	35	15	4	7	10	21
5	35	11	15	8	10	22
5	35	10	19	9	12	19
5	35	8	32	7	12	17
5	35	7	43	10	14	19
5	35	6	69	8	12	18
5	35	5	79	7	11	16
5	35	4	108	6	9	13
5	35	3	182	5	7	11
5	35	2	610	3	5	7
5	35	9	14	9	18	27
5	35	23	2	18	18	21
5	35	131	1	54	54	54
5	35	18	2	5	5	14
5	35	20	5	9	13	14
5	35	13	7	6	13	15
5	35	12	8	7	9	26
5	35	14	4	14	15	20
5	35	21	4	3	25	44
5	35	37	1	28	28	28
5	35	29	2	12	12	26
5	35	36	1	26	26	26
5	35	22	2	11	11	24
5	35	28	1	4	4	4
5	35	17	4	12	13	20
5	35	52	1	38	38	38
5	35	24	3	12	16	45
5	35	30	2	12	12	17
5	35	140	2	47	47	51
5	35	27	2	7	7	33
5	35	93	1	12	12	12
5	35	35	2	14	14	17
5	35	26	2	18	18	23
5	35	19	1	32	32	32
5	35	31	1	14	14	14
6	41	17	5	8	9	10
6	41	7	56	7	14	23
6	41	5	88	6	10	14
6	41	4	139	5	8	12
6	41	3	217	5	6	10
6	41	2	835	3	4	6
6	41	19	6	7	8	12
6	41	11	15	10	17	24
6	41	6	71	7	11	19
6	41	14	8	7	10	17
6	41	9	38	8	10	23
6	41	8	26	9	16	22
6	41	55	1	7	7	7
6	41	18	3	7	16	29
6	41	16	8	13	17	19
6	41	12	9	11	16	27
6	41	10	21	10	16	20
6	41	22	3	8	21	32
6	41	24	2	6	6	14
6	41	23	3	10	12	24
6	41	21	4	11	19	33
6	41	33	2	21	21	36
6	41	15	5	8	13	21
6	41	20	3	6	7	12
6	41	34	1	16	16	16
6	41	13	7	9	15	23
6	41	75	1	7	7	7
6	41	30	1	6	6	6
6	41	36	1	25	25	25
7	42	49	2	9	9	31
7	42	11	16	8	10	17
7	42	10	24	7	11	15
7	42	8	37	9	12	18
7	42	7	42	9	11	15
7	42	5	100	6	9	13
7	42	4	159	6	8	11
7	42	3	221	4	6	9
7	42	2	914	3	4	6
7	42	6	63	8	11	18
7	42	20	3	4	13	16
7	42	12	14	6	10	22
7	42	9	23	9	17	27
7	42	31	2	22	22	60
7	42	23	2	8	8	38
7	42	36	1	32	32	32
7	42	13	7	6	16	19
7	42	26	2	19	19	29
7	42	17	3	9	20	24
7	42	21	1	18	18	18
7	42	16	2	7	7	17
7	42	51	1	14	14	14
7	42	68	1	67	67	67
7	42	15	7	6	17	22
7	42	14	5	12	21	29
7	42	46	1	8	8	8
7	42	37	1	5	5	5
7	42	45	2	4	4	5
7	42	19	4	10	10	24
7	42	18	2	17	17	26
7	42	34	2	7	7	69
7	42	30	2	12	12	14
7	42	24	2	6	6	15
7	42	114	1	62	62	62
7	42	59	1	17	17	17
7	42	75	1	7	7	7
7	42	43	1	21	21	21
8	39	38	2	16	16	18
8	39	24	1	53	53	53
8	39	19	2	18	18	22
8	39	13	18	8	17	19
8	39	12	10	9	13	19
8	39	10	17	11	16	27
8	39	9	28	8	13	15
8	39	8	41	9	11	16
8	39	7	44	7	10	18
8	39	6	57	7	10	14
8	39	5	97	6	9	15
8	39	4	155	6	9	11
8	39	3	218	4	6	9
8	39	2	767	3	4	7
8	39	29	2	10	10	12
8	39	48	1	28	28	28
8	39	16	9	14	16	22
8	39	11	7	7	18	24
8	39	20	2	10	10	11
8	39	26	1	10	10	10
8	39	14	7	13	15	22
8	39	21	2	15	15	18
8	39	18	4	6	19	32
8	39	37	1	8	8	8
8	39	15	4	6	16	33
8	39	17	4	13	13	48
8	39	90	1	41	41	41
8	39	71	1	8	8	8
8	39	25	1	41	41	41
8	39	31	2	11	11	16
8	39	61	1	23	23	23
8	39	23	1	16	16	16
8	39	22	1	66	66	66
9	49	9	17	9	11	19
9	49	7	47	8	10	15
