depth	imgcount	area	nbr	greylimit1	greylimit2	greylimit3
3	14	10	4	6	8	24
3	14	8	16	6	9	17
3	14	7	5	8	9	11
3	14	6	12	7	10	16
3	14	5	22	6	8	10
3	14	4	46	5	7	10
3	14	3	52	4	7	9
3	14	2	242	3	4	6
3	14	14	3	10	10	20
3	14	12	7	6	11	14
3	14	9	1	27	27	27
3	14	55	1	38	38	38
3	14	63	1	56	56	56
3	14	53	1	24	24	24
3	14	19	3	7	24	55
3	14	15	4	6	9	24
3	14	11	5	8	9	11
3	14	168	1	69	69	69
3	14	27	1	4	4	4
3	14	21	1	38	38	38
3	14	13	2	10	10	17
3	14	28	1	25	25	25
4	25	16	2	12	12	17
4	25	13	4	5	11	33
4	25	11	8	10	22	32
4	25	10	11	11	14	18
4	25	9	10	7	15	18
4	25	8	16	6	14	26
4	25	7	24	7	10	15
4	25	6	31	7	11	18
4	25	5	44	6	9	14
4	25	4	61	4	7	10
4	25	3	123	5	7	9
4	25	2	508	3	4	6
4	25	21	2	33	33	72
4	25	59	1	11	11	11
4	25	18	1	20	20	20
4	25	15	2	9	9	17
4	25	12	4	6	9	26
4	25	38	1	10	10	10
4	25	27	1	7	7	7
4	25	29	1	20	20	20
4	25	14	2	4	4	35
4	25	17	2	19	19	19
4	25	37	1	12	12	12
4	25	28	1	5	5	5
4	25	23	1	13	13	13
4	25	163	1	10	10	10
4	25	85	1	15	15	15
4	25	31	1	16	16	16
4	25	159	1	19	19	19
4	25	20	1	16	16	16
5	37	16	4	13	13	20
5	37	10	10	7	9	14
5	37	9	14	6	10	13
5	37	6	58	7	9	14
5	37	5	56	6	9	13
5	37	4	100	6	8	11
5	37	3	170	4	6	9
5	37	2	819	3	4	5
5	37	25	2	5	5	28
5	37	15	6	8	10	12
5	37	11	7	11	12	18
5	37	8	25	8	11	14
5	37	14	3	6	13	15
5	37	7	28	5	9	12
5	37	156	1	30	30	30
5	37	48	1	32	32	32
5	37	36	2	5	5	14
5	37	26	1	4	4	4
5	37	13	1	8	8	8
5	37	12	4	16	16	43
5	37	82	1	9	9	9
5	37	227	1	56	56	56
5	37	55	1	5	5	5
5	37	47	1	5	5	5
5	37	19	1	13	13	13
5	37	79	1	5	5	5
5	37	28	1	12	12	12
5	37	224	1	61	61	61
5	37	396	1	117	117	117
5	37	23	1	27	27	27
5	37	368	1	11	11	11
5	37	22	1	5	5	5
5	37	21	1	18	18	18
5	37	20	1	13	13	13
5	37	29	1	23	23	23
5	37	41	1	10	10	10
5	37	147	1	12	12	12
6	32	139	1	157	157	157
6	32	29	1	82	82	82
6	32	8	15	7	14	19
6	32	7	25	7	8	15
6	32	6	38	6	9	15
6	32	4	90	5	7	11
6	32	3	145	4	6	8
6	32	2	495	3	4	6
6	32	23	1	9	9	9
6	32	12	10	8	12	25
6	32	5	46	5	7	9
6	32	11	6	7	13	19
6	32	25	2	12	12	19
6	32	13	3	13	19	22
6	32	10	8	11	11	21
6	32	9	11	10	13	15
6	32	16	1	11	11	11
6	32	14	5	9	12	15
6	32	19	2	13	13	25
6	32	15	4	7	12	19
6	32	296	1	42	42	42
6	32	69	1	4	4	4
6	32	197	1	8	8	8
6	32	41	2	6	6	9
6	32	34	1	6	6	6
6	32	22	1	10	10	10
6	32	20	1	4	4	4
6	32	21	1	20	20	20
7	28	13	6	8	10	20
7	28	8	12	6	12	15
7	28	7	26	6	9	13
7	28	5	44	6	9	14
7	28	4	73	5	9	12
7	28	3	116	4	5	9
7	28	2	495	3	4	6
7	28	15	2	5	5	9
7	28	12	6	13	13	18
7	28	6	27	5	8	12
7	28	14	4	5	6	12
7	28	11	7	5	15	21
7	28	9	15	6	14	20
7	28	23	1	17	17	17
7	28	10	9	16	18	18
7	28	36	1	25	25	25
7	28	19	1	8	8	8
7	28	18	3	12	15	16
7	28	22	1	8	8	8
7	28	37	1	56	56	56
7	28	29	1	4	4	4
7	28	21	2	10	10	18
7	28	24	1	21	21	21
7	28	16	1	24	24	24
7	28	26	2	11	11	19
8	40	20	2	5	5	38
8	40	15	9	9	11	16
8	40	12	14	9	10	21
8	40	8	23	7	11	14
8	40	7	28	7	9	11
8	40	6	33	6	8	10
8	40	4	109	5	6	9
