orig_id	objid	name	taxo_hierarchy	classif_qual	depth_including_offset	psampleid	%area	angle	area	area_exc	areai	bx	by	cdexc	centroids	circ.	circex	compentropy	compm1	compm2	compm3	compmean	compslope	convarea	convarea_area	convperim	convperim_perim	cv	elongation	esd	fcons	feret	feretareaexc	fractal	height	histcum1	histcum2	histcum3	intden	kurt	kurt_mean	major	max	mean	meanpos	median	median_mean	median_mean_range	min	minor	mode	nb1	nb1_area	nb1_range	nb2	nb2_area	nb2_range	nb3	nb3_area	nb3_range	perim.	perimareaexc	perimferet	perimmajor	range	skelarea	skeleton_area	skew	skew_mean	slope	sr	stddev	symetrieh	symetrieh_area	symetriehc	symetriev	symetriev_area	symetrievc	tag	thickr	width	x	xm	xmg5	xstart	y	ym	ymg5	ystart
bats361_ctd22_123	146226769	detritus	not-living>detritus	V	83.0	33975	98.88	7.2	89.0	1.0	84.0	14.0	11.0	0.0	0.0	0.536	0.00593873847559507	0.0	0.0	0.0	0.0	0.0	0.0	110.0	1.23595505617978	42.0	0.91304347826087	15.6774916013438	1.44444444444444	10.6451077721848	0.0	14.4	14.0	0.803	10.0	209.0	233.0	246.0	19869.0	3.229	0.013437849944009	12.5	255.0	223.25	-0.241904761904762	234.0	10.75	0.0659509202453988	92.0	9.1	251.0	1.0	0.0112359550561798	0.00613496932515337	1.0	0.0112359550561798	0.00613496932515337	1.0	0.0112359550561798	0.00613496932515337	45.7	46.0	3.28571428571429	3.53846153846154	163.0	17.0	0.191011235955056	-1.825	-0.00895856662933931	0.012	21.4723926380368	34.732	1.792	0.0224719101123595	2.0	1.848	0.0224719101123595	2.0	1.0	1.625	13.0	20.72	20.6	0.0	15.0	16.08	16.09	0.0	11.0
bats361_ctd22_338	146245621	badfocus<artefact	not-living>artefact>badfocus	V	219.89999999999998	33975	91.62	21.5	167.0	14.0	123.0	14.0	15.0	0.0	0.0	0.304	0.0255376961244053	0.0	0.0	0.0	0.0	0.0	0.0	211.0	1.26347305389222	64.0	0.771084337349398	1.19731800766284	1.07142857142857	14.5818724439206	0.0	19.0	5.07796359633606	0.933	16.0	247.0	250.0	251.0	41843.0	-0.464	0.0	15.3	255.0	250.56	-0.676829268292682	251.0	0.439999999999998	0.0399999999999998	244.0	13.9	253.0	0.0	0.0	0.0	2.0	0.0119760479041916	0.181818181818182	1.0	0.00598802395209581	0.0909090909090909	83.05	22.1826830787312	4.36842105263158	5.53333333333333	11.0	66.0	0.395209580838323	-0.585	-0.00399106002554278	0.048	27.2727272727273	2.512	2.084	0.0119760479041916	2.0	2.048	0.0119760479041916	2.0	1.0	2.187	18.0	22.55	22.53	0.0	23.0	22.99	22.98	0.0	15.0
bats361_ctd22_757	146218505	detritus	not-living>detritus	V	1213.1000000000001	33975	100.0	80.9	115.0	0.0	112.0	10.0	18.0		0.0	0.682	0.0	0.0	0.0	0.0	0.0	0.0	0.0	126.0	1.09565217391304	50.0	1.08695652173913	53.2145288039106	2.25	12.1005184865998	0.0	18.4		0.814	18.0	99.0	185.0	233.0	18585.0	-0.739	-0.00618773590743147	18.1	253.0	161.61	-0.565497184580162	186.0	24.39	0.0964031620553359	0.0	8.1	0.0	1.0	0.00869565217391304	0.00395256916996047	1.0	0.00869565217391304	0.00395256916996047	1.0	0.00869565217391304	0.00395256916996047	46.04		2.55555555555556	2.55555555555556	253.0	14.0	0.121739130434783	-0.787	-0.00618773590743147	0.015	33.9920948616601	85.668	2.33	0.0173913043478261	2.0	2.261	0.0173913043478261	2.0	1.0	1.252	9.0	14.36	14.42	0.0	13.0	27.08	26.62	0.0	18.0
bats361_ctd22_94	146232379	tuff	living>Bacteria>Cyanobacteria>Cyanophyceae>Trichodesmium>tuff	V	69.10000000000001	33975	100.0	6.9	195.0	0.0	183.0	31.0	14.0		0.0	0.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	283.0	1.45128205128205	82.0	0.863157894736842	56.3932090704025	3.0	15.7569575497098	0.0	31.3		0.958	13.0	88.0	222.0	246.0	32850.0	-0.979	-0.00593612727056868	26.8	253.0	168.46	-0.501840199453876	223.0	54.54	0.215573122529644	0.0	9.3	0.0	1.0	0.00512820512820513	0.00395256916996047	1.0	0.00512820512820513	0.00395256916996047	1.0	0.00512820512820513	0.00395256916996047	95.3		3.06451612903226	3.51851851851852	253.0	46.0	0.235897435897436	-0.805	-0.00593612727056868	0.028	37.5494071146245	94.917	3.654	0.0205128205128205	3.0	3.623	0.0205128205128205	3.0	1.0	1.863	30.0	45.68	45.58	0.0	60.0	20.8	20.6	0.0	14.0
bats361_ctd22_590	146213151	other<living	living>other	V	784.4000000000001	33975	98.76	130.8	1212.0	15.0	1164.0	78.0	1.0	0.577350269189626	2.23606797749979	0.391	0.0048570063442858	0.0	0.0	0.0	0.0	0.0	0.0	1440.0	1.18811881188119	188.0	0.954314720812183	27.7427490542245	1.96428571428571	39.2831557823327	0.0	64.4	16.5247289438183	1.134	45.0	139.0	223.0	247.0	240273.0	-1.437	-0.00504413619167718	54.9	255.0	198.25	-0.519450800915332	225.0	26.75	0.161144578313253	89.0	28.1	252.0	1.0	0.000825082508250825	0.00602409638554217	1.0	0.000825082508250825	0.00602409638554217	1.0	0.000825082508250825	0.00602409638554217	197.28	50.8651812801907	3.078125	3.58181818181818	166.0	146.0	0.12046204620462	-0.488	0.0	0.121	33.1325301204819	54.516	2.588	0.00247524752475248	2.0	2.541	0.00247524752475248	0.0	1.0	1.591	51.0	108.73	107.07	0.0	78.0	21.57	21.21	0.0	1.0
bats361_ctd22_605	146229710	darksphere	living>other>othertocheck>darksphere	V	815.7	33975	100.0	133.9	121.0	0.0	114.0	15.0	15.0		0.0	0.52	0.0	0.0	0.0	0.0	0.0	0.0	0.0	140.0	1.15702479338843	53.0	0.981481481481482	75.5888506445299	1.27272727272727	12.4121708380506	0.0	15.8		0.834	15.0	0.0	221.0	248.0	17928.0	-1.676	-0.0134980090436661	14.4	253.0	148.17	-0.707498144023757	222.0	73.83	0.291818181818182	0.0	10.7	0.0	1.0	0.00826446280991736	0.00395256916996047	1.0	0.00826446280991736	0.00395256916996047	1.0	0.00826446280991736	0.00395256916996047	54.08		3.375	3.85714285714286	253.0	23.0	0.190082644628099	-0.439	0.0	0.035	44.2687747035573	112.2	2.256	0.0165289256198347	2.0	2.273	0.0165289256198347	2.0	1.0	1.422	14.0	22.23	22.07	0.0	20.0	22.19	22.34	0.0	15.0
bats361_ctd22_395	146227627	detritus	not-living>detritus	V	301.4	33975	100.0	112.3	229.0	0.0	223.0	18.0	23.0		1.0	0.669	0.0	0.0	0.0	0.0	0.0	0.0	0.0	262.0	1.14410480349345	74.0	1.12121212121212	63.1750560423884	1.76923076923077	17.0754752714047	0.0	22.8		0.908	22.0	65.0	166.0	236.0	33710.0	-1.3	-0.00679301677875144	23.0	253.0	147.21	-0.718633245024115	167.0	19.79	0.0782213438735178	0.0	12.7	0.0	2.0	0.00873362445414847	0.00790513833992095	2.0	0.00873362445414847	0.00790513833992095	1.0	0.00436681222707424	0.00395256916996047	65.6		2.8695652173913	2.8695652173913	253.0	19.0	0.0829694323144105	-0.437	0.0	0.036	36.7588932806324	92.688	2.26	0.00873362445414847	2.0	2.251	0.00873362445414847	2.0	1.0	1.306	17.0	26.15	26.22	0.0	24.0	34.36	34.76	0.0	23.0
bats361_ctd22_512	146226099	badfocus<artefact	not-living>artefact>badfocus	V	564.7	33975	98.98	51.1	98.0	1.0	84.0	9.0	12.0	0.0	0.0	0.478	0.00483136125119538	0.0	0.0	0.0	0.0	0.0	0.0	116.0	1.18367346938776	46.0	0.901960784313726	1.20763223572981	1.2	11.1703838512401	0.0	14.9	15.0	0.809	13.0	245.0	248.0	250.0	24345.0	-0.566	-0.00402544078576604	12.0	255.0	248.42	-0.698513800424631	249.0	0.580000000000013	0.0362500000000008	239.0	10.4	250.0	1.0	0.0102040816326531	0.0625	1.0	0.0102040816326531	0.0625	1.0	0.0102040816326531	0.0625	50.77	51.0	3.4	4.25	16.0	28.0	0.285714285714286	-0.438	0.0	0.024	18.75	3.488	2.077	0.0204081632653061	2.0	1.995	0.0204081632653061	1.0	1.0	2.063	12.0	16.0	16.0	0.0	19.0	19.04	19.04	0.0	12.0
bats361_ctd22_316	146238243	detritus	not-living>detritus	V	184.29999999999998	33975	100.0	87.4	106.0	0.0	105.0	9.0	18.0		0.0	0.606	0.0	0.0	0.0	0.0	0.0	0.0	0.0	118.0	1.11320754716981	49.0	1.04255319148936	18.4448111833803	2.125	11.6173745632104	0.0	19.2		0.806	19.0	179.0	210.0	241.0	21838.0	-0.71	-0.00485389767983691	17.1	253.0	206.02	-0.510541186698544	211.0	4.97999999999999	0.0358273381294963	114.0	7.9	247.0	1.0	0.00943396226415094	0.00719424460431655	1.0	0.00943396226415094	0.00719424460431655	1.0	0.00943396226415094	0.00719424460431655	46.87		2.47368421052632	2.76470588235294	139.0	18.0	0.169811320754717	-0.573	-0.00485389767983691	0.012	27.3381294964029	37.923	2.585	0.0283018867924528	2.0	2.585	0.0283018867924528	2.0	1.0	1.448	8.0	12.73	12.7	0.0	13.0	27.46	27.46	0.0	18.0
bats361_ctd22_426	146229863	Acantharea	living>Eukaryota>Harosa>Rhizaria>Retaria>Acantharea	V	367.0	33975	100.0	78.3	89.0	0.0	83.0	15.0	18.0		0.0	0.277	0.0	0.0	0.0	0.0	0.0	0.0	0.0	163.0	1.8314606741573	62.0	0.96875	15.6433320297223	1.2	10.6451077721848	0.0	17.9		0.858	17.0	222.0	243.0	248.0	20482.0	15.682	0.0695259201320993	11.9	253.0	230.13	-0.106804277775183	244.0	13.87	0.0585232067510549	16.0	9.5	246.0	0.0	0.0	0.0	2.0	0.0224719101123595	0.00843881856540084	2.0	0.0224719101123595	0.00843881856540084	63.5		3.55555555555556	5.33333333333333	237.0	28.0	0.314606741573034	-3.675	-0.0173814800330248	0.014	15.1898734177215	36.377	4.079	0.0449438202247191	4.0	3.787	0.0449438202247191	4.0	1.0	3.356	16.0	22.15	22.22	0.0	20.0	28.28	28.22	0.0	18.0
