orig_id	objid	name	taxo_hierarchy	classif_qual	depth_including_offset	psampleid	%area	angle	area	area_exc	areai	bx	by	cdexc	centroids	circ.	circex	compentropy	compm1	compm2	compm3	compmean	compslope	convarea	convarea_area	convperim	convperim_perim	cv	elongation	esd	fcons	feret	feretareaexc	fractal	height	histcum1	histcum2	histcum3	intden	kurt	kurt_mean	major	max	mean	meanpos	median	median_mean	median_mean_range	min	minor	mode	nb1	nb1_area	nb1_range	nb2	nb2_area	nb2_range	nb3	nb3_area	nb3_range	perim.	perimareaexc	perimferet	perimmajor	range	skelarea	skeleton_area	skew	skew_mean	slope	sr	stddev	symetrieh	symetrieh_area	symetriehc	symetriev	symetriev_area	symetrievc	tag	thickr	width	x	xm	xmg5	xstart	y	ym	ymg5	ystart
bats361_ctd15_425	146207862	detritus	not-living>detritus	V	905.3000000000001	33967	100.0	159.6	125.0	0.0	122.0	14.0	13.0		0.0	0.801	0.0	0.0	0.0	0.0	0.0	0.0	0.0	134.0	1.072	49.0	1.11363636363636	71.7875089734386	1.36363636363636	12.6156626101008	0.0	15.8		0.812	12.0	31.0	159.0	239.0	17413.0	-1.566	-0.0143575017946877	14.7	253.0	139.3	-0.816223977027997	160.0	20.7	0.0818181818181818	0.0	10.8	0.0	2.0	0.016	0.00790513833992095	1.0	0.008	0.00395256916996047	1.0	0.008	0.00395256916996047	44.28		2.75	2.93333333333333	253.0	12.0	0.096	-0.265	0.0	0.025	39.5256916996047	99.907	1.98	0.016	1.0	2.004	0.016	2.0	1.0	1.561	15.0	22.23	21.97	0.0	17.0	18.32	18.28	0.0	13.0
bats361_ctd15_51	146218350	detritus	not-living>detritus	V	63.5	33967	100.0	146.3	117.0	0.0	113.0	15.0	14.0		0.0	0.813	0.0	0.0	0.0	0.0	0.0	0.0	0.0	127.0	1.08547008547009	50.0	1.16279069767442	12.1583284549917	1.18181818181818	12.2052868353847	0.0	14.9		0.808	13.0	210.0	226.0	243.0	25982.0	1.791	0.00900616922591975	13.1	253.0	222.07	-0.303027334182424	227.0	4.93000000000001	0.0370676691729324	120.0	11.4	243.0	1.0	0.00854700854700855	0.0075187969924812	1.0	0.00854700854700855	0.0075187969924812	1.0	0.00854700854700855	0.0075187969924812	42.53		2.86666666666667	3.30769230769231	133.0	11.0	0.094017094017094	-1.372	-0.00450308461295988	0.014	20.3007518796992	27.233	1.923	0.0170940170940171	2.0	1.957	0.0170940170940171	2.0	1.0	1.527	14.0	22.28	22.32	0.0	20.0	20.85	20.89	0.0	14.0
bats361_ctd15_303	146225854	badfocus<artefact	not-living>artefact>badfocus	V	298.2	33967	98.9	70.7	91.0	1.0	86.0	12.0	14.0	0.0	0.0	0.669	0.00747553278665031	0.0	0.0	0.0	0.0	0.0	0.0	98.0	1.07692307692308	44.0	1.07317073170732	1.20544862779765	1.33333333333333	10.7640512155461	0.0	14.3	14.0	0.787	14.0	246.0	248.0	251.0	22647.0	-0.68	-0.00401816209265882	12.4	254.0	248.87	-0.746724890829693	249.0	0.129999999999995	0.010833333333333	242.0	9.3	252.0	0.0	0.0	0.0	1.0	0.010989010989011	0.0833333333333333	1.0	0.010989010989011	0.0833333333333333	41.36	41.0	2.92857142857143	3.41666666666667	12.0	16.0	0.175824175824176	-0.428	0.0	0.025	25.0	3.001	2.302	0.021978021978022	2.0	2.258	0.021978021978022	2.0	1.0	1.556	11.0	17.92	17.92	0.0	19.0	20.52	20.53	0.0	14.0
bats361_ctd15_235	146221796	detritus	not-living>detritus	V	176.5	33967	97.14	26.4	105.0	3.0	95.0	15.0	14.0	0.577350269189626	1.0	0.512	0.0144940837535861	0.0	0.0	0.0	0.0	0.0	0.0	133.0	1.26666666666667	50.0	0.980392156862745	36.9603784742756	1.09090909090909	11.5624457705622	0.0	14.8	8.66025403784439	0.842	13.0	187.0	238.0	250.0	21307.0	1.781	0.00985610092647349	12.2	255.0	202.92	-0.25665286812537	241.0	38.08	0.149333333333333	0.0	11.0	252.0	1.0	0.00952380952380952	0.00392156862745098	2.0	0.019047619047619	0.00784313725490196	2.0	0.019047619047619	0.00784313725490196	50.77	29.4448637286709	3.4	4.25	255.0	19.0	0.180952380952381	-1.733	-0.00985610092647349	0.016	29.4117647058824	74.539	2.162	0.019047619047619	2.0	1.895	0.019047619047619	2.0	1.0	2.081	14.0	21.17	21.4	0.0	19.0	20.39	20.67	0.0	14.0
bats361_ctd15_102	146218621	badfocus<artefact	not-living>artefact>badfocus	V	93.3	33967	98.08	175.0	104.0	2.0	88.0	14.0	11.0	0.0	0.0	0.484	0.00929465282127158	0.0	0.0	0.0	0.0	0.0	0.0	127.0	1.22115384615385	46.0	0.884615384615385	1.20048019207683	1.18181818181818	11.5072547835032	0.0	14.4	9.89949493661167	0.824	12.0	247.0	249.0	251.0	25990.0	-0.354	0.0	12.6	254.0	249.9	-0.594202898550723	250.0	0.0999999999999943	0.00909090909090857	243.0	10.5	252.0	1.0	0.00961538461538462	0.0909090909090909	1.0	0.00961538461538462	0.0909090909090909	1.0	0.00961538461538462	0.0909090909090909	51.94	36.7695526217005	3.71428571428571	4.0	11.0	38.0	0.365384615384615	-0.665	-0.0040016006402561	0.031	27.2727272727273	2.594	1.899	0.0192307692307692	2.0	1.957	0.0192307692307692	2.0	1.0	1.833	13.0	20.07	20.07	0.0	15.0	16.31	16.31	0.0	11.0
bats361_ctd15_158	146229768	detritus	not-living>detritus	V	130.79999999999998	33967	100.0	149.7	83.0	0.0	82.0	12.0	10.0		0.0	0.841	0.0	0.0	0.0	0.0	0.0	0.0	0.0	91.0	1.09638554216867	40.0	1.14285714285714	82.9493087557604	1.1	10.2800234539138	0.0	12.8		0.748	11.0	0.0	146.0	243.0	10807.0	-1.779	-0.0153609831029186	11.2	253.0	130.2	-0.943164362519201	147.0	16.8	0.066403162055336	0.0	9.5	0.0	1.0	0.0120481927710843	0.00395256916996047	1.0	0.0120481927710843	0.00395256916996047	1.0	0.0120481927710843	0.00395256916996047	35.21		2.69230769230769	3.18181818181818	253.0	1.0	0.0120481927710843	-0.119	0.0	0.023	42.6877470355731	108.339	1.831	0.0240963855421687	1.0	1.807	0.0240963855421687	2.0	1.0	1.566	11.0	17.81	17.72	0.0	17.0	15.38	15.41	0.0	10.0
bats361_ctd15_178	146225890	light<detritus	not-living>detritus>light	V	143.6	33967	99.59	168.1	244.0	1.0	225.0	68.0	19.0	0.0	0.0	0.112	0.000461574678213376	0.0	0.0	0.0	0.0	0.0	0.0	454.0	1.86065573770492	167.0	1.01212121212121	9.27057435422022	12.0	17.6258460482151	0.0	69.1	69.0	1.027	19.0	234.0	244.0	249.0	57904.0	9.259	0.0379250769036282	60.2	254.0	237.31	-0.126143148666012	245.0	7.69	0.0516107382550335	105.0	5.2	252.0	1.0	0.00409836065573771	0.00671140939597315	2.0	0.00819672131147541	0.0134228187919463	4.0	0.0163934426229508	0.0268456375838926	165.1	165.0	2.39130434782609	2.75	149.0	75.0	0.307377049180328	-2.81	-0.0126416923012094	0.042	14.7651006711409	22.335	13.801	0.0573770491803279	6.0	13.777	0.0573770491803279	6.0	1.0	2.013	67.0	104.62	104.5	0.0	68.0	29.62	29.59	0.0	19.0
bats361_ctd15_32	146233372	light<detritus	not-living>detritus>light	V	56.400000000000006	33967	100.0	140.4	117.0	0.0	111.0	16.0	15.0		0.0	0.482	0.0	0.0	0.0	0.0	0.0	0.0	0.0	146.0	1.24786324786325	59.0	1.07272727272727	5.04753091612686	2.25	12.2052868353847	0.0	18.6		0.852	16.0	226.0	238.0	247.0	27816.0	-0.349	0.0	18.1	253.0	237.74	-0.439263097294185	239.0	1.25999999999999	0.0251999999999998	203.0	8.2	223.0	0.0	0.0	0.0	2.0	0.0170940170940171	0.04	2.0	0.0170940170940171	0.04	55.25		2.89473684210526	3.05555555555556	50.0	17.0	0.145299145299145	-0.625	-0.00420627576343905	0.018	24.0	11.855	2.868	0.0256410256410256	2.0	2.962	0.0256410256410256	3.0	1.0	1.398	16.0	23.71	23.72	0.0	20.0	23.67	23.67	0.0	15.0
bats361_ctd15_298	146227222	detritus	not-living>detritus	V	283.0	33967	100.0	32.3	101.0	0.0	96.0	15.0	3.0		0.0	0.76	0.0	0.0	0.0	0.0	0.0	0.0	0.0	112.0	1.10891089108911	48.0	1.17073170731707	10.4015918958032	1.66666666666667	11.3400702827739	0.0	16.1		0.793	12.0	203.0	220.0	242.0	22333.0	-0.911	-0.00452243125904486	14.5	253.0	221.12	-0.589061345158906	221.0	-0.120000000000005	-0.00139534883720936	167.0	8.8	243.0	1.0	0.0099009900990099	0.0116279069767442	1.0	0.0099009900990099	0.0116279069767442	1.0	0.0099009900990099	0.0116279069767442	40.87		2.5625	2.73333333333333	86.0	10.0	0.099009900990099	-0.273	0.0	0.013	26.7441860465116	22.69	2.277	0.0198019801980198	2.0	2.158	0.0198019801980198	1.0	1.0	1.584	14.0	21.15	21.18	0.0	22.0	8.63	8.6	0.0	3.0
bats361_ctd15_396	146232942	light<detritus	not-living>detritus>light	V	744.3000000000001	33967	100.0	139.8	120.0	0.0	112.0	17.0	16.0		0.0	0.345	0.0	0.0	0.0	0.0	0.0	0.0	0.0	163.0	1.35833333333333	58.0	0.878787878787879	21.3326071169208	1.88888888888889	12.3607744647421	0.0	19.4		0.88	15.0	217.0	241.0	248.0	26438.0	2.726	0.0136165577342048	17.3	253.0	220.32	-0.205121767511926	242.0	21.68	0.112916666666667	61.0	8.8	252.0	0.0	0.0	0.0	2.0	0.0166666666666667	0.0104166666666667	1.0	0.00833333333333333	0.00520833333333333	66.08		3.47368421052632	3.88235294117647	192.0	27.0	0.225	-1.915	-0.00907770515613653	0.018	24.4791666666667	47.289	2.483	0.0166666666666667	3.0	2.533	0.025	3.0	1.0	1.922	16.0	24.96	24.87	0.0	18.0	23.27	23.28	0.0	16.0
