orig_id	objid	name	taxo_hierarchy	classif_qual	depth_including_offset	psampleid	%area	angle	area	area_exc	areai	bx	by	cdexc	centroids	circ.	circex	compentropy	compm1	compm2	compm3	compmean	compslope	convarea	convarea_area	convperim	convperim_perim	cv	elongation	esd	fcons	feret	feretareaexc	fractal	height	histcum1	histcum2	histcum3	intden	kurt	kurt_mean	major	max	mean	meanpos	median	median_mean	median_mean_range	min	minor	mode	nb1	nb1_area	nb1_range	nb2	nb2_area	nb2_range	nb3	nb3_area	nb3_range	perim.	perimareaexc	perimferet	perimmajor	range	skelarea	skeleton_area	skew	skew_mean	slope	sr	stddev	symetrieh	symetrieh_area	symetriehc	symetriev	symetriev_area	symetrievc	tag	thickr	width	x	xm	xmg5	xstart	y	ym	ymg5	ystart
bats361_ctd9_516	146229288	detritus	not-living>detritus	V	187.2	33987	100.0	142.8	101.0	0.0	99.0	14.0	13.0		0.0	0.815	0.0	0.0	0.0	0.0	0.0	0.0	0.0	107.0	1.05940594059406	46.0	1.17948717948718	30.6059987757601	1.55555555555556	11.3400702827739	0.0	15.3		0.785	12.0	168.0	219.0	243.0	19800.0	0.93	0.00510099979596001	14.1	253.0	196.04	-0.290552948377882	220.0	23.96	0.094703557312253	0.0	9.1	252.0	1.0	0.0099009900990099	0.00395256916996047	1.0	0.0099009900990099	0.00395256916996047	1.0	0.0099009900990099	0.00395256916996047	39.46		2.6	2.78571428571429	253.0	7.0	0.0693069306930693	-1.284	-0.00510099979596001	0.012	23.7154150197628	59.901	2.084	0.0198019801980198	2.0	2.074	0.0198019801980198	2.0	1.0	1.546	13.0	20.4	20.41	0.0	17.0	18.99	18.85	0.0	13.0
bats361_ctd9_479	146227050	badfocus<artefact	not-living>artefact>badfocus	V	168.39999999999998	33987	99.07	5.8	108.0	1.0	94.0	14.0	13.0	0.0	0.0	0.557	0.00523380700306504	0.0	0.0	0.0	0.0	0.0	0.0	130.0	1.2037037037037	48.0	0.979591836734694	1.60926939169617	1.18181818181818	11.7264602856701	0.0	14.8	15.0	0.819	13.0	245.0	248.0	250.0	26844.0	-0.295	0.0	12.5	254.0	248.56	-0.515151515151515	249.0	0.439999999999998	0.0274999999999999	238.0	11.0	250.0	0.0	0.0	0.0	1.0	0.00925925925925926	0.0625	1.0	0.00925925925925926	0.0625	49.36	49.0	3.26666666666667	3.76923076923077	16.0	29.0	0.268518518518519	-0.662	-0.00402317347924042	0.027	25.0	3.532	2.102	0.0185185185185185	2.0	2.083	0.0185185185185185	2.0	1.0	1.814	13.0	20.56	20.56	0.0	21.0	19.66	19.66	0.0	13.0
bats361_ctd9_783	146227769	badfocus<artefact	not-living>artefact>badfocus	V	634.3000000000001	33987	98.37	32.8	123.0	2.0	119.0	15.0	14.0	0.0	0.0	0.707	0.0113774292570024	0.0	0.0	0.0	0.0	0.0	0.0	134.0	1.08943089430894	50.0	1.06382978723404	1.61616161616162	1.36363636363636	12.5143303457446	0.0	16.1	11.3137084989848	0.826	13.0	244.0	247.0	250.0	30442.0	-0.556	-0.00404040404040404	14.8	254.0	247.5	-0.684210526315789	248.0	0.5	0.03125	238.0	10.6	250.0	1.0	0.00813008130081301	0.0625	1.0	0.00813008130081301	0.0625	1.0	0.00813008130081301	0.0625	46.77	33.2340187157677	2.9375	3.13333333333333	16.0	16.0	0.130081300813008	-0.629	-0.00404040404040404	0.029	25.0	4.066	1.813	0.016260162601626	2.0	1.829	0.016260162601626	2.0	1.0	1.46	14.0	22.28	22.27	0.0	21.0	20.16	20.15	0.0	14.0
bats361_ctd9_896	146212270	detritus	not-living>detritus	V	783.9000000000001	33987	100.0	174.5	103.0	0.0	100.0	17.0	12.0		1.0	0.563	0.0	0.0	0.0	0.0	0.0	0.0	0.0	128.0	1.24271844660194	52.0	1.08333333333333	43.1458219552157	1.66666666666667	11.4517978111614	0.0	17.1		0.817	11.0	121.0	218.0	245.0	18859.0	-0.234	0.0	14.5	253.0	183.1	-0.381758601856909	219.0	35.9	0.141897233201581	0.0	9.0	238.0	1.0	0.00970873786407767	0.00395256916996047	1.0	0.00970873786407767	0.00395256916996047	1.0	0.00970873786407767	0.00395256916996047	47.94		2.82352941176471	3.2	253.0	14.0	0.135922330097087	-1.033	-0.00546149645002731	0.013	31.2252964426877	78.848	2.515	0.029126213592233	1.0	2.631	0.029126213592233	1.0	1.0	1.833	17.0	26.75	26.26	0.0	28.0	17.48	17.41	0.0	12.0
bats361_ctd9_824	146211691	other<living	living>other	V	722.3000000000001	33987	94.02	34.5	1020.0	61.0	939.0	65.0	53.0	0.256073759865792	2.0	0.199	0.011881527178931	0.0	0.0	0.0	0.0	0.0	0.0	1345.0	1.31862745098039	228.0	0.897637795275591	36.6658518699584	4.11111111111111	36.0375406434716	0.0	71.9	9.21865535516851	1.208	52.0	178.0	242.0	249.0	208645.0	1.334	0.00488878024932779	74.1	255.0	204.55	-0.246638963578587	245.0	40.45	0.158627450980392	0.0	17.5	252.0	3.0	0.00294117647058824	0.0117647058823529	5.0	0.00490196078431373	0.0196078431372549	2.0	0.00196078431372549	0.00784313725490196	253.75	32.5213675029556	3.52777777777778	3.43243243243243	255.0	254.0	0.249019607843137	-1.631	-0.00977756049865558	0.146	29.4117647058824	75.162	4.483	0.00392156862745098	4.0	4.53	0.00490196078431373	4.0	1.0	2.294	64.0	95.06	96.51	0.0	118.0	79.46	78.76	0.0	53.0
bats361_ctd9_244	146230417	light<detritus	not-living>detritus>light	V	100.0	33987	100.0	71.2	120.0	0.0	114.0	12.0	16.0		0.0	0.585	0.0	0.0	0.0	0.0	0.0	0.0	0.0	150.0	1.25	52.0	1.01960784313725	25.7506782544719	1.27272727272727	12.3607744647421	0.0	16.6		0.84	15.0	213.0	241.0	247.0	26096.0	4.751	0.0229916770129213	14.0	253.0	217.47	-0.164895345059637	243.0	25.53	0.101713147410359	2.0	10.9	252.0	1.0	0.00833333333333333	0.00398406374501992	1.0	0.00833333333333333	0.00398406374501992	1.0	0.00833333333333333	0.00398406374501992	50.77		3.0	3.64285714285714	251.0	26.0	0.216666666666667	-2.301	-0.00919667080516853	0.018	22.3107569721116	56.154	2.079	0.0166666666666667	2.0	2.013	0.0166666666666667	2.0	1.0	1.552	13.0	18.97	18.95	0.0	22.0	23.38	23.47	0.0	16.0
bats361_ctd9_647	146220825	detritus	not-living>detritus	V	339.59999999999997	33987	100.0	158.7	81.0	0.0	81.0	16.0	11.0		1.0	0.635	0.0	0.0	0.0	0.0	0.0	0.0	0.0	94.0	1.16049382716049	46.0	1.15	46.6864040081986	2.83333333333333	10.1554125038596	0.0	16.6		0.776	10.0	120.0	214.0	238.0	14227.0	-0.551	-0.00569346390343885	16.8	252.0	175.64	-0.434752903666591	215.0	39.36	0.156190476190476	0.0	6.1	239.0	0.0	0.0	0.0	3.0	0.037037037037037	0.0119047619047619	2.0	0.0246913580246914	0.00793650793650794	40.04		2.35294117647059	2.35294117647059	252.0	12.0	0.148148148148148	-0.934	-0.00569346390343885	0.01	32.5396825396825	81.695	2.623	0.037037037037037	3.0	2.611	0.037037037037037	3.0	1.0	1.469	15.0	23.51	23.48	0.0	18.0	15.71	15.66	0.0	11.0
bats361_ctd9_101	146213227	Rhizaria	living>Eukaryota>Harosa>Rhizaria	V	72.7	33987	97.35	65.6	378.0	10.0	355.0	25.0	26.0	0.0	0.0	0.332	0.00872664625997165	0.0	0.0	0.0	0.0	0.0	0.0	458.0	1.21164021164021	94.0	0.783333333333333	26.618542747575	1.25	21.9381983742944	0.0	27.7	8.85437744847146	1.045	25.0	226.0	245.0	249.0	83782.0	6.222	0.0270697044890593	24.6	255.0	221.65	-0.150462440785021	246.0	24.35	0.0954901960784313	0.0	19.5	252.0	1.0	0.00264550264550265	0.00392156862745098	2.0	0.00529100529100529	0.00784313725490196	2.0	0.00529100529100529	0.00784313725490196	119.54	37.9473319220206	4.28571428571429	4.8	255.0	98.0	0.259259259259259	-2.637	-0.0135348522445297	0.062	23.1372549019608	58.849	1.991	0.00529100529100529	2.0	2.062	0.00529100529100529	2.0	1.0	2.129	24.0	37.24	37.17	0.0	38.0	39.19	39.09	0.0	26.0
bats361_ctd9_344	146227813	detritus	not-living>detritus	V	125.2	33987	100.0	6.4	86.0	0.0	85.0	17.0	8.0		0.0	0.682	0.0	0.0	0.0	0.0	0.0	0.0	0.0	91.0	1.05813953488372	41.0	1.025	50.5882352941176	2.28571428571429	10.464157913909	0.0	16.8		0.774	7.0	121.0	196.0	244.0	14620.0	-0.633	-0.00588235294117647	15.8	253.0	170.0	-0.488235294117647	200.0	30.0	0.118577075098814	0.0	6.9	0.0	0.0	0.0	0.0	1.0	0.0116279069767442	0.00395256916996047	1.0	0.0116279069767442	0.00395256916996047	39.8		2.35294117647059	2.5	253.0	13.0	0.151162790697674	-0.844	-0.00588235294117647	0.012	33.9920948616601	86.048	2.186	0.0232558139534884	3.0	2.209	0.0232558139534884	3.0	1.0	1.333	16.0	24.37	24.45	0.0	19.0	11.09	11.14	0.0	8.0
bats361_ctd9_570	146251541	darksphere	living>other>othertocheck>darksphere	V	236.79999999999998	33987	100.0	85.0	86.0	0.0	86.0	11.0	13.0		0.0	0.806	0.0	0.0	0.0	0.0	0.0	0.0	0.0	91.0	1.05813953488372	40.0	1.08108108108108	64.9941505264526	1.33333333333333	10.464157913909	0.0	13.0		0.756	12.0	63.0	196.0	243.0	13232.0	-1.366	-0.00649941505264526	12.2	252.0	153.86	-0.637852593266606	200.0	46.14	0.183095238095238	0.0	9.0	0.0	1.0	0.0116279069767442	0.00396825396825397	1.0	0.0116279069767442	0.00396825396825397	1.0	0.0116279069767442	0.00396825396825397	36.63		2.84615384615385	3.08333333333333	252.0	10.0	0.116279069767442	-0.543	-0.00649941505264526	0.017	39.6825396825397	99.808	1.814	0.0232558139534884	2.0	1.791	0.0232558139534884	2.0	1.0	1.5	10.0	15.66	15.53	0.0	13.0	19.02	19.39	0.0	13.0
