depth	imgcount	area	nbr	greylimit1	greylimit2	greylimit3
45	2	16	1	13	13	13
45	2	10	2	22	22	24
45	2	8	1	9	9	9
45	2	7	4	16	18	27
45	2	6	9	6	9	10
45	2	5	3	6	9	18
45	2	4	9	5	6	9
45	2	3	10	5	8	8
45	2	2	14	3	4	5
45	2	32	1	14	14	14
45	2	9	3	8	11	12
46	37	34	3	33	47	61
46	37	19	11	13	18	34
46	37	12	17	11	16	23
46	37	10	44	10	17	26
46	37	9	47	9	18	25
46	37	8	79	12	17	23
46	37	7	95	10	14	21
46	37	6	102	9	13	21
46	37	5	140	7	11	15
46	37	4	236	7	10	14
46	37	3	392	5	7	11
46	37	2	821	5	6	10
46	37	25	3	16	32	35
46	37	21	6	17	22	34
46	37	18	10	18	21	36
46	37	16	12	20	28	37
46	37	28	2	14	14	48
46	37	27	4	7	8	36
46	37	24	3	14	29	48
46	37	14	19	14	24	30
46	37	13	27	11	16	27
46	37	31	1	48	48	48
46	37	15	11	19	25	31
46	37	11	25	10	13	20
46	37	20	5	14	22	38
46	37	32	1	44	44	44
46	37	54	1	5	5	5
46	37	17	13	16	27	37
46	37	42	1	41	41	41
46	37	30	1	37	37	37
46	37	33	1	43	43	43
46	37	23	4	16	39	40
46	37	22	2	17	17	29
46	37	38	1	55	55	55
46	37	72	1	51	51	51
46	37	36	1	42	42	42
46	37	29	3	7	19	28
46	37	40	1	49	49	49
47	34	36	2	17	17	22
47	34	32	3	27	36	50
47	34	30	3	24	35	41
47	34	29	1	17	17	17
47	34	23	3	13	28	49
47	34	19	9	15	16	27
47	34	13	21	15	23	32
47	34	10	39	12	18	24
47	34	9	57	16	22	30
47	34	8	68	12	17	23
47	34	7	66	10	15	24
47	34	6	97	9	14	19
47	34	5	141	8	10	15
47	34	4	247	7	9	14
47	34	3	353	6	8	12
47	34	2	793	5	7	10
47	34	27	4	15	21	60
47	34	25	4	20	39	53
47	34	16	13	18	23	33
47	34	15	10	11	17	32
47	34	14	34	14	24	32
47	34	12	19	9	21	33
47	34	28	2	30	30	35
47	34	20	7	14	37	47
47	34	11	28	11	15	23
47	34	53	1	14	14	14
47	34	37	2	43	43	54
47	34	26	4	14	26	58
47	34	21	5	26	28	51
47	34	65	1	47	47	47
47	34	39	1	17	17	17
47	34	22	6	27	29	41
47	34	34	1	34	34	34
47	34	18	12	18	29	39
47	34	17	8	9	27	56
47	34	873	1	6	6	6
47	34	114	1	21	21	21
47	34	42	1	37	37	37
47	34	38	1	33	33	33
47	34	126	1	20	20	20
47	34	85	1	18	18	18
47	34	43	1	67	67	67
47	34	40	1	61	61	61
47	34	24	1	28	28	28
47	34	883	1	5	5	5
48	39	25	2	7	7	13
48	39	21	11	17	22	31
48	39	13	21	17	23	31
48	39	10	38	10	14	22
48	39	9	50	11	16	24
48	39	8	61	11	15	22
48	39	7	76	9	14	22
48	39	6	102	8	11	17
48	39	5	142	8	11	15
48	39	4	269	6	10	15
48	39	3	379	6	8	12
48	39	2	852	5	7	10
48	39	17	15	22	25	32
48	39	11	35	14	19	28
48	39	22	6	19	28	36
48	39	16	7	15	24	29
48	39	14	14	11	16	22
48	39	12	18	12	15	29
48	39	30	2	40	40	68
48	39	15	10	24	28	34
48	39	47	1	48	48	48
48	39	18	7	20	27	41
48	39	24	9	14	22	25
48	39	23	6	18	26	69
48	39	20	6	14	16	32
48	39	37	1	24	24	24
48	39	32	1	14	14	14
48	39	26	4	26	35	53
48	39	69	1	28	28	28
48	39	19	6	28	30	44
48	39	57	1	16	16	16
48	39	31	2	26	26	50
48	39	755	1	6	6	6
48	39	36	1	33	33	33
48	39	33	2	23	23	32
48	39	42	2	19	19	23
48	39	34	2	19	19	32
48	39	41	1	46	46	46
48	39	27	1	24	24	24
49	48	56	1	35	35	35
49	48	47	2	7	7	30
49	48	21	3	12	23	26
49	48	18	11	20	23	42
49	48	17	15	18	24	40
49	48	16	16	19	20	28
49	48	14	17	15	20	28
49	48	10	56	10	16	30
49	48	9	65	11	16	23
49	48	8	73	11	14	21
49	48	7	99	10	14	22
49	48	6	146	9	14	20
49	48	5	184	8	11	16
49	48	4	329	7	10	14
49	48	3	425	6	8	12
49	48	2	1011	4	6	10
49	48	20	10	23	28	32
49	48	13	29	15	19	28
49	48	12	33	11	17	24
49	48	11	39	14	20	30
49	48	19	8	17	18	44
49	48	23	5	15	20	30
49	48	24	5	25	47	47
49	48	15	15	17	24	36
49	48	33	2	10	10	29
49	48	29	3	24	25	67
49	48	28	4	16	16	50
49	48	30	3	11	36	42
49	48	22	1	47	47	47
49	48	32	2	17	17	44
49	48	25	2	9	9	9
49	48	50	1	49	49	49
49	48	79	1	37	37	37
49	48	59	1	21	21	21
49	48	27	6	12	26	32
49	48	38	1	44	44	44
49	48	62	1	36	36	36
49	48	40	1	4	4	4
49	48	36	1	31	31	31
49	48	52	1	59	59	59
49	48	34	1	29	29	29
49	48	39	1	18	18	18
49	48	31	1	36	36	36
49	48	26	1	13	13	13
50	46	41	1	20	20	20
50	46	33	4	23	25	60
50	46	19	11	10	20	28
50	46	15	16	16	20	26
50	46	14	23	15	27	36
50	46	12	30	15	23	29
50	46	11	32	10	18	30
50	46	8	81	12	19	25
50	46	6	124	8	12	19
50	46	5	166	8	11	15
50	46	4	315	7	10	13
50	46	3	441	5	8	11
50	46	2	1095	5	7	10
50	46	10	30	10	15	20
50	46	7	105	9	15	22
50	46	18	9	18	35	39
50	46	13	39	15	22	31
50	46	9	65	12	18	28
50	46	29	2	34	34	77
50	46	785	1	7	7	7
50	46	17	16	15	20	44
50	46	26	4	10	14	63
50	46	22	7	16	33	39
50	46	24	6	16	17	21
50	46	16	16	12	18	35
50	46	28	4	26	41	68
50	46	20	8	18	24	47
50	46	30	1	22	22	22
50	46	40	1	33	33	33
50	46	39	1	25	25	25
50	46	25	2	9	9	21
50	46	34	1	25	25	25
50	46	60	1	19	19	19
50	46	32	4	37	43	55
50	46	21	4	9	9	27
50	46	43	1	15	15	15
50	46	31	1	41	41	41
50	46	44	1	46	46	46
50	46	23	2	34	34	50
50	46	75	1	38	38	38
50	46	42	1	39	39	39
50	46	96	1	39	39	39
50	46	38	1	79	79	79
50	46	58	1	7	7	7
51	43	15	25	12	17	26
51	43	14	23	15	22	33
51	43	13	28	18	21	28
51	43	10	62	12	18	21
51	43	8	67	11	16	27
51	43	7	86	9	12	19
51	43	6	128	10	13	18
51	43	5	201	8	11	15
51	43	4	366	7	10	13
51	43	3	571	6	8	11
51	43	2	1190	5	7	11
51	43	25	6	30	31	39
51	43	22	5	28	41	41
51	43	21	6	22	30	43
51	43	19	8	11	12	43
51	43	18	12	20	27	44
51	43	16	18	16	24	34
51	43	12	32	15	22	35
51	43	30	3	24	26	66
51	43	11	32	14	18	26
51	43	32	7	29	34	45
51	43	26	4	17	26	59
51	43	9	70	10	14	24
51	43	17	14	14	38	45
51	43	43	1	24	24	24
51	43	23	7	12	15	43
51	43	24	8	19	24	45
51	43	29	1	45	45	45
51	43	28	4	30	36	58
51	43	20	15	17	35	40
51	43	27	2	12	12	12
51	43	37	1	34	34	34
51	43	502	1	4	4	4
51	43	892	1	7	7	7
51	43	44	3	25	33	33
51	43	34	1	19	19	19
51	43	47	1	13	13	13
51	43	35	2	37	37	55
51	43	33	3	27	28	36
51	43	31	2	20	20	37
51	43	53	1	26	26	26
51	43	81	1	6	6	6
51	43	48	1	50	50	50
51	43	40	1	62	62	62
52	36	39	2	44	44	55
52	36	30	5	28	31	35
52	36	24	9	19	21	44
52	36	17	13	12	21	31
52	36	16	18	20	24	33
52	36	13	28	13	23	36
52	36	12	30	12	22	29
52	36	11	53	13	19	30
52	36	10	53	12	18	26
52	36	9	70	13	17	23
52	36	8	83	12	16	20
52	36	7	118	10	13	19
52	36	6	145	8	13	20
52	36	5	206	8	12	17
52	36	4	318	7	10	14
52	36	3	523	5	8	11
52	36	2	1044	4	6	10
52	36	25	3	17	21	37
52	36	60	1	41	41	41
52	36	15	21	14	20	30
52	36	23	9	26	35	41
52	36	20	10	20	21	31
52	36	18	13	12	22	30
52	36	47	2	34	34	35
52	36	14	29	14	22	27
52	36	29	1	12	12	12
52	36	28	8	19	28	44
52	36	27	6	18	23	28
52	36	21	6	9	13	30
52	36	19	10	12	21	35
52	36	22	7	11	24	42
52	36	438	1	25	25	25
52	36	57	1	7	7	7
52	36	36	2	33	33	57
52	36	26	5	30	36	51
52	36	34	2	35	35	36
52	36	40	1	31	31	31
52	36	32	1	14	14	14
52	36	37	2	35	35	38
52	36	38	2	42	42	60
52	36	58	1	39	39	39
52	36	93	1	4	4	4
52	36	31	2	7	7	47
52	36	33	2	34	34	49
52	36	42	1	12	12	12
53	49	50	1	30	30	30
53	49	15	35	18	27	33
53	49	9	80	12	18	25
53	49	8	123	9	14	20
53	49	7	144	9	13	19
53	49	6	187	8	13	21
53	49	5	281	8	11	16
53	49	4	425	7	9	13
53	49	3	638	5	7	11
53	49	2	1205	4	6	10
53	49	26	11	29	36	40
53	49	16	26	14	24	35
53	49	14	30	11	21	27
53	49	13	40	14	20	35
53	49	11	71	13	18	26
53	49	37	3	23	30	52
53	49	23	9	20	25	32
53	49	22	8	18	29	46
53	49	21	15	9	25	49
53	49	12	59	10	18	30
53	49	10	83	13	17	23
53	49	28	8	9	15	38
53	49	27	9	19	23	30
53	49	24	9	18	23	30
53	49	20	12	22	29	47
53	49	18	20	14	21	38
53	49	19	11	13	22	34
53	49	17	27	16	26	30
53	49	31	6	20	33	60
53	49	30	5	26	27	27
53	49	41	2	35	35	40
53	49	35	5	18	28	29
53	49	29	4	22	24	49
53	49	54	1	18	18	18
53	49	34	3	25	33	52
53	49	67	2	25	25	36
53	49	44	2	46	46	48
53	49	25	4	32	33	67
53	49	38	2	34	34	41
53	49	32	1	38	38	38
53	49	39	2	19	19	79
53	49	43	3	6	43	71
53	49	46	3	14	29	39
53	49	62	2	44	44	66
53	49	40	2	23	23	81
53	49	33	2	17	17	40
53	49	145	1	13	13	13
53	49	90	1	30	30	30
53	49	68	1	4	4	4
53	49	36	1	17	17	17
53	49	53	1	42	42	42
53	49	60	1	31	31	31
53	49	59	1	29	29	29
54	43	53	1	67	67	67
54	43	24	12	17	22	34
54	43	18	18	18	27	39
54	43	17	19	26	30	37
54	43	13	40	11	17	28
54	43	11	54	13	17	26
54	43	10	65	14	20	27
54	43	9	87	10	14	23
54	43	8	113	12	16	21
54	43	7	146	9	13	20
54	43	6	161	8	13	18
54	43	5	220	7	10	16
54	43	4	363	6	9	13
54	43	3	489	5	7	11
54	43	2	1120	4	6	9
54	43	67	1	46	46	46
54	43	21	12	8	28	40
54	43	15	26	16	24	36
54	43	12	55	12	19	32
54	43	30	7	15	31	39
54	43	38	3	29	36	41
54	43	34	2	27	27	63
54	43	31	3	17	24	41
54	43	20	14	13	23	31
54	43	14	30	13	20	29
54	43	41	1	45	45	45
54	43	37	2	27	27	41
54	43	44	1	21	21	21
54	43	23	15	19	31	39
54	43	16	20	18	22	36
54	43	32	2	5	5	20
54	43	22	9	14	29	40
54	43	19	19	10	20	36
54	43	461	1	6	6	6
54	43	76	1	5	5	5
54	43	26	5	21	25	36
54	43	640	1	5	5	5
54	43	283	1	5	5	5
54	43	29	3	23	24	26
54	43	45	1	27	27	27
54	43	28	3	43	47	62
54	43	25	5	26	28	33
54	43	27	3	18	32	56
54	43	73	1	25	25	25
54	43	33	2	9	9	55
54	43	49	1	38	38	38
54	43	47	2	25	25	32
54	43	46	1	37	37	37
54	43	65	1	13	13	13
54	43	36	1	33	33	33
54	43	80	1	68	68	68
54	43	111	1	90	90	90
54	43	63	1	7	7	7
54	43	127	1	15	15	15
54	43	52	1	28	28	28
54	43	35	4	14	20	50
54	43	48	1	55	55	55
54	43	72	1	40	40	40
54	43	56	1	80	80	80
54	43	40	1	33	33	33
55	39	61	1	32	32	32
55	39	53	1	43	43	43
55	39	29	2	15	15	25
55	39	24	4	25	41	53
55	39	19	14	11	27	47
55	39	13	38	12	22	34
55	39	12	31	15	19	25
55	39	10	50	11	18	25
